name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rúben Diogo da Silva Neves,MID,Wolves,Leicester,90,0,0,1,0,14,0,0,0,0,0,0,4.5,12.8,31.2,1.0,False,2,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Spurs,90,0,0,1,0,22,0,0,0,0,0,0,13.1,33.2,73.4,24.0,True,2,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Man Utd,90,0,0,1,0,9,1,0,0,0,0,0,3.3,11.2,13.6,8.0,True,1,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Watford,90,0,0,0,1,17,0,0,0,0,0,0,4.2,18.2,14.6,9.0,False,3,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Brentford,90,0,0,2,0,10,1,0,0,0,0,0,4.8,12.6,34.6,1.0,True,1,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Southampton,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,False,1,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Newcastle,90,0,0,1,0,10,0,0,0,0,0,0,2.9,15.4,13.7,0.0,True,2,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Aston Villa,90,1,0,2,0,31,1,0,0,0,0,0,5.4,40.2,6.8,7.0,False,8,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Leeds,1,0,0,1,0,5,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Everton,90,0,0,1,0,16,0,0,0,0,0,0,3.9,17.2,3.6,18.0,True,2,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Crystal Palace,90,0,0,2,0,14,0,0,0,0,0,0,1.3,7.2,5.2,1.0,False,2,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,West Ham,90,0,0,0,1,15,1,0,0,0,0,0,4.7,16.2,18.3,12.0,True,2,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Norwich,90,0,0,0,1,13,1,0,0,0,0,0,2.4,17.4,4.9,2.0,False,2,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Liverpool,90,0,0,1,0,14,0,0,0,0,0,0,2.4,16.2,7.4,0.0,True,2,3.0,5.0,-2.0
Rúben Diogo da Silva Neves,MID,Wolves,Man City,81,0,0,1,0,11,1,0,0,0,0,0,0.3,3.0,0.4,0.0,False,1,3.0,5.0,-2.0
Rúben Diogo da Silva Neves,MID,Wolves,Brighton,90,0,1,0,1,24,0,0,0,0,0,0,4.7,22.6,15.1,9.0,False,6,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Chelsea,90,0,0,0,1,11,0,0,0,0,0,0,1.3,7.8,4.8,0.0,True,3,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Man Utd,90,0,0,0,1,15,0,0,0,0,0,0,3.2,10.4,5.3,16.0,False,3,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Brentford,90,1,0,1,0,33,1,0,0,0,0,0,9.2,63.0,13.5,15.0,False,8,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Arsenal,90,0,0,1,0,14,1,0,0,0,0,0,3.5,18.0,7.8,9.0,True,1,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Spurs,90,0,0,0,1,15,0,0,0,0,0,0,3.1,14.0,2.0,15.0,False,3,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Leicester,90,1,0,1,0,22,1,0,0,0,0,0,5.0,40.2,1.5,8.0,True,6,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Arsenal,90,0,0,2,0,18,0,0,0,0,0,0,3.3,27.0,6.3,0.0,False,2,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,5.4,28.6,18.2,7.0,False,2,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Crystal Palace,90,0,0,2,0,12,0,0,0,0,0,0,4.1,20.2,4.6,16.0,True,2,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Watford,90,1,0,0,1,37,0,0,0,0,0,0,8.9,54.2,17.8,17.0,True,11,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Everton,90,0,1,0,1,23,0,0,0,0,0,0,7.1,37.8,17.8,15.0,False,6,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Leeds,24,0,0,0,0,4,0,0,0,0,0,0,0.6,0.0,1.3,8.0,True,1,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rúben Diogo da Silva Neves,MID,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Brighton,45,0,0,1,0,9,0,0,0,0,0,0,1.5,4.4,2.3,8.0,True,1,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Chelsea,76,0,0,2,0,8,0,0,0,0,0,0,4.6,11.0,33.7,1.0,False,2,3.0,4.0,-1.0
Rúben Diogo da Silva Neves,MID,Wolves,Man City,90,0,0,5,0,17,0,0,0,0,0,0,3.1,18.2,10.8,2.0,True,2,3.0,5.0,-2.0
Rúben Diogo da Silva Neves,MID,Wolves,Norwich,90,0,0,1,0,15,0,0,0,0,0,0,4.3,17.0,17.7,8.0,True,2,3.0,2.0,1.0
Rúben Diogo da Silva Neves,MID,Wolves,Liverpool,90,0,0,3,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3.0,5.0,-2.0
