name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Shane Long,FWD,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Shane Long,FWD,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Shane Long,FWD,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Shane Long,FWD,Southampton,Wolves,16,0,0,0,0,2,0,0,0,0,0,0,2.4,6.0,0.1,18.0,True,1,3.0,3.0,0.0
Shane Long,FWD,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Shane Long,FWD,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Shane Long,FWD,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Crystal Palace,20,0,0,0,0,1,0,0,0,0,0,0,2.4,4.2,0.6,19.0,False,1,3.0,2.0,1.0
Shane Long,FWD,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Shane Long,FWD,Southampton,Spurs,70,0,0,1,0,1,0,0,0,0,0,0,0.6,0.2,3.6,2.0,True,2,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Shane Long,FWD,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Shane Long,FWD,Southampton,Spurs,2,0,0,0,0,3,0,0,0,0,0,0,0.2,1.2,0.6,0.0,False,1,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Everton,7,1,0,0,0,26,0,0,0,0,0,0,6.6,33.0,0.3,33.0,True,5,3.0,2.0,1.0
Shane Long,FWD,Southampton,Norwich,7,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,2.0,1.0
Shane Long,FWD,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Newcastle,11,0,0,0,0,2,0,0,0,0,0,0,0.4,4.0,0.3,0.0,True,1,3.0,3.0,0.0
Shane Long,FWD,Southampton,Watford,1,0,0,0,0,4,0,0,0,0,0,0,1.2,2.0,10.3,0.0,True,1,3.0,2.0,1.0
Shane Long,FWD,Southampton,Leeds,1,0,0,0,0,3,0,0,0,0,0,0,1.8,0.0,0.3,18.0,False,1,3.0,2.0,1.0
Shane Long,FWD,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Arsenal,16,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.2,0.1,0.0,True,0,3.0,4.0,-1.0
Shane Long,FWD,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Brighton,78,0,0,2,0,0,0,0,0,0,0,0,6.1,6.2,1.6,53.0,False,2,3.0,2.0,1.0
Shane Long,FWD,Southampton,Crystal Palace,64,0,0,1,0,2,0,0,0,0,0,0,3.8,0.8,11.4,26.0,True,2,3.0,2.0,1.0
Shane Long,FWD,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Shane Long,FWD,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Shane Long,FWD,Southampton,Leicester,7,0,0,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
