name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Antonio Rüdiger,DEF,Chelsea,Everton,90,0,0,0,1,22,0,0,0,0,0,0,1.8,14.6,3.4,0.0,True,2021-08-14T14:00:00Z,6
Antonio Rüdiger,DEF,Chelsea,Arsenal,90,0,0,0,1,23,0,0,0,0,0,0,1.6,11.8,1.7,2.0,False,2021-08-22T15:30:00Z,6
Antonio Rüdiger,DEF,Chelsea,Liverpool,90,0,0,1,0,8,1,0,0,0,0,0,1.8,14.2,3.3,0.0,False,2021-08-28T16:30:00Z,1
Antonio Rüdiger,DEF,Chelsea,Aston Villa,90,0,0,0,1,24,0,0,0,0,0,0,1.8,11.0,1.1,6.0,True,2021-09-11T16:30:00Z,6
Antonio Rüdiger,DEF,Chelsea,Spurs,90,1,0,0,1,40,0,0,0,0,0,0,9.9,49.4,15.6,34.0,False,2021-09-19T15:30:00Z,14
Antonio Rüdiger,DEF,Chelsea,Man City,90,0,0,1,0,9,1,0,0,0,0,0,4.6,18.6,27.8,0.0,True,2021-09-25T11:30:00Z,1
Antonio Rüdiger,DEF,Chelsea,Southampton,90,0,0,1,0,16,0,0,0,0,0,0,4.4,17.2,11.8,15.0,True,2021-10-02T14:00:00Z,2
Antonio Rüdiger,DEF,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T16:30:00Z,0
Antonio Rüdiger,DEF,Chelsea,Sheffield Utd,90,0,1,0,1,35,0,0,0,0,0,0,6.7,11.0,13.3,43.0,True,2021-10-23T11:30:00Z,9
Antonio Rüdiger,DEF,Chelsea,Newcastle,90,0,0,0,1,23,0,0,0,0,0,0,3.9,9.4,10.8,19.0,False,2021-10-30T14:00:00Z,6
Antonio Rüdiger,DEF,Chelsea,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,6.4,7.2,24.3,32.0,True,2021-11-06T15:00:00Z,2
Antonio Rüdiger,DEF,Chelsea,Leicester,90,1,0,0,1,40,0,0,0,0,0,0,9.0,45.6,11.6,33.0,False,2021-11-20T12:30:00Z,14
Antonio Rüdiger,DEF,Chelsea,Man Utd,90,0,0,1,0,11,0,0,0,0,0,0,2.7,7.4,2.6,17.0,True,2021-11-28T16:30:00Z,2
Antonio Rüdiger,DEF,Chelsea,West Brom,90,0,0,1,0,21,0,0,0,0,0,0,3.6,34.6,1.6,0.0,False,2021-12-01T19:30:00Z,2
Antonio Rüdiger,DEF,Chelsea,West Ham,90,0,0,3,0,12,0,0,0,0,0,0,5.1,12.6,28.5,10.0,False,2021-12-04T12:30:00Z,1
Antonio Rüdiger,DEF,Chelsea,Leeds,90,0,2,2,0,28,0,0,0,0,0,0,2.4,8.0,1.7,14.0,True,2021-12-11T15:00:00Z,9
Antonio Rüdiger,DEF,Chelsea,Fulham,90,0,0,1,0,9,0,0,0,0,0,0,4.2,10.8,7.5,24.0,True,2021-12-16T19:45:00Z,2
Antonio Rüdiger,DEF,Chelsea,Wolves,90,0,0,0,1,25,1,0,0,0,0,0,3.0,13.4,2.6,14.0,False,2021-12-19T14:00:00Z,5
Antonio Rüdiger,DEF,Chelsea,Aston Villa,90,0,0,1,0,12,0,0,0,0,0,0,2.3,20.2,2.7,0.0,False,2021-12-26T17:30:00Z,2
Antonio Rüdiger,DEF,Chelsea,Burnley,90,0,0,1,0,10,1,0,0,0,0,0,5.7,19.6,2.1,35.0,True,2021-12-29T19:30:00Z,1
Antonio Rüdiger,DEF,Chelsea,Liverpool,90,0,0,2,0,16,0,0,0,0,0,0,2.3,11.4,5.9,6.0,True,2022-01-02T16:30:00Z,1
Antonio Rüdiger,DEF,Chelsea,Man City,90,0,0,1,0,13,0,0,0,0,0,0,2.1,16.2,4.3,0.0,False,2022-01-15T12:30:00Z,2
Antonio Rüdiger,DEF,Chelsea,Burnley,90,0,0,1,0,16,1,0,0,0,0,0,3.6,21.2,15.0,0.0,False,2022-01-18T20:00:00Z,1
Antonio Rüdiger,DEF,Chelsea,Spurs,90,0,0,0,1,27,0,0,0,0,0,0,1.6,12.8,0.9,2.0,True,2022-01-23T16:30:00Z,7
