name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ben White,DEF,Arsenal,Brighton,90,0,0,2,0,12,0,0,0,0,0,0,1.1,10.8,0.5,0.0,False,2021-08-13T19:00:00Z,1
Ben White,DEF,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-22T15:30:00Z,0
Ben White,DEF,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-28T11:30:00Z,0
Ben White,DEF,Arsenal,Sheffield Utd,90,0,0,0,1,19,1,0,0,0,0,0,4.3,12.4,30.7,0.0,True,2021-09-11T14:00:00Z,5
Ben White,DEF,Arsenal,Chelsea,90,0,0,0,1,27,0,0,0,0,0,0,2.4,23.4,0.2,0.0,False,2021-09-18T14:00:00Z,7
Ben White,DEF,Arsenal,Spurs,90,0,0,1,0,15,0,0,0,0,0,0,1.4,13.6,0.2,0.0,True,2021-09-26T15:30:00Z,2
Ben White,DEF,Arsenal,Burnley,90,0,0,0,1,28,0,0,0,0,0,0,4.3,28.2,10.5,4.0,False,2021-10-02T16:30:00Z,7
Ben White,DEF,Arsenal,Everton,90,0,0,2,0,16,0,0,0,0,0,0,5.0,11.2,12.3,26.0,True,2021-10-18T19:00:00Z,1
Ben White,DEF,Arsenal,Aston Villa,90,0,0,1,0,16,0,0,0,0,0,0,2.1,21.0,0.4,0.0,True,2021-10-22T19:00:00Z,2
Ben White,DEF,Arsenal,Leicester,90,0,0,0,1,18,0,0,0,0,0,0,0.9,8.8,0.3,0.0,False,2021-10-30T11:30:00Z,6
Ben White,DEF,Arsenal,West Brom,90,0,0,0,1,29,0,0,0,0,0,0,3.9,38.2,0.4,0.0,True,2021-11-07T14:00:00Z,8
Ben White,DEF,Arsenal,Liverpool,90,0,0,4,0,11,0,0,0,0,0,0,2.6,25.4,0.3,0.0,False,2021-11-20T17:30:00Z,0
Ben White,DEF,Arsenal,Newcastle,90,0,0,0,1,26,0,0,0,0,0,0,2.6,22.8,3.2,0.0,True,2021-11-27T12:30:00Z,6
Ben White,DEF,Arsenal,Man Utd,90,0,0,3,0,15,0,0,0,0,0,0,5.3,20.8,14.6,18.0,False,2021-12-02T20:15:00Z,1
Ben White,DEF,Arsenal,Fulham,90,0,0,2,0,14,0,0,0,0,0,0,2.7,26.2,0.8,0.0,False,2021-12-06T20:00:00Z,1
Ben White,DEF,Arsenal,Southampton,90,0,0,0,1,30,0,0,0,0,0,0,1.9,17.4,1.3,0.0,True,2021-12-11T15:00:00Z,6
Ben White,DEF,Arsenal,West Ham,90,0,0,0,1,27,0,0,0,0,0,0,1.8,17.8,0.5,0.0,True,2021-12-15T20:00:00Z,6
Ben White,DEF,Arsenal,Leeds,90,0,0,1,0,6,0,0,0,0,0,0,1.0,0.0,10.4,0.0,False,2021-12-18T17:30:00Z,2
Ben White,DEF,Arsenal,Sheffield Utd,90,0,0,0,1,21,0,0,0,0,0,0,2.3,16.0,5.3,2.0,False,2021-12-26T15:00:00Z,6
Ben White,DEF,Arsenal,Man City,90,0,0,2,0,10,0,0,0,0,0,0,2.5,24.4,0.3,0.0,True,2022-01-01T12:30:00Z,1
Ben White,DEF,Arsenal,Chelsea,90,0,0,0,1,26,0,0,0,0,0,0,4.6,18.2,18.2,10.0,True,2022-01-23T14:00:00Z,8
Ben White,DEF,Arsenal,Wolves,90,0,0,0,1,25,0,0,0,0,0,0,5.6,25.6,10.3,20.0,False,2022-02-10T19:45:00Z,7
