name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Brandon Williams,DEF,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T11:30:00Z,0
Brandon Williams,DEF,Norwich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-21T14:00:00Z,0
Brandon Williams,DEF,Norwich,Leicester,90,0,0,2,0,14,0,0,0,0,0,0,1.7,14.0,3.1,0.0,True,2021-08-28T14:00:00Z,1
Brandon Williams,DEF,Norwich,Arsenal,90,0,0,1,0,15,0,0,0,0,0,0,4.1,25.2,11.8,4.0,False,2021-09-11T14:00:00Z,2
Brandon Williams,DEF,Norwich,West Brom,90,0,0,3,0,6,1,0,0,0,0,0,1.9,4.6,2.3,12.0,True,2021-09-18T14:00:00Z,0
Brandon Williams,DEF,Norwich,Fulham,85,0,0,2,0,5,1,0,0,0,0,0,1.1,0.8,3.9,6.0,False,2021-09-25T14:00:00Z,0
Brandon Williams,DEF,Norwich,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T14:00:00Z,0
Brandon Williams,DEF,Norwich,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-16T14:00:00Z,0
Brandon Williams,DEF,Norwich,Crystal Palace,45,0,0,4,0,5,0,0,0,0,0,0,2.0,6.2,11.6,2.0,False,2021-10-23T11:30:00Z,-1
Brandon Williams,DEF,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-31T14:00:00Z,0
Brandon Williams,DEF,Norwich,Brighton,90,0,0,1,0,16,0,0,0,0,0,0,4.8,19.8,22.1,6.0,False,2021-11-06T15:00:00Z,2
