name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Craig Cathcart,DEF,Watford,Aston Villa,90,0,0,2,0,6,0,0,0,0,0,0,1.3,11.8,0.8,0.0,True,2021-08-14T14:00:00Z,1
Craig Cathcart,DEF,Watford,Burnley,64,0,0,2,0,7,0,0,0,0,0,0,0.9,7.2,1.7,0.0,False,2021-08-21T16:30:00Z,1
Craig Cathcart,DEF,Watford,Spurs,50,0,0,1,0,7,0,0,0,0,0,0,2.7,24.2,0.4,2.0,False,2021-08-29T13:00:00Z,1
Craig Cathcart,DEF,Watford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-11T14:00:00Z,0
Craig Cathcart,DEF,Watford,Sheffield Utd,90,0,0,1,0,10,1,0,0,0,0,0,2.2,15.2,0.3,6.0,False,2021-09-18T14:00:00Z,1
Craig Cathcart,DEF,Watford,Newcastle,90,0,0,1,0,8,1,0,0,0,0,0,0.8,8.0,0.4,0.0,True,2021-09-25T14:00:00Z,1
Craig Cathcart,DEF,Watford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T14:00:00Z,0
Craig Cathcart,DEF,Watford,Liverpool,90,0,0,5,0,12,0,0,0,0,0,0,1.3,13.2,0.0,0.0,True,2021-10-16T11:30:00Z,0
Craig Cathcart,DEF,Watford,Fulham,90,0,1,2,0,29,0,0,0,0,0,0,4.7,30.4,14.2,2.0,False,2021-10-23T14:00:00Z,4
Craig Cathcart,DEF,Watford,Southampton,90,0,0,1,0,19,0,0,0,0,0,0,3.7,36.6,0.5,0.0,True,2021-10-30T14:00:00Z,2
Craig Cathcart,DEF,Watford,Arsenal,90,0,0,1,0,15,0,0,0,0,0,0,1.1,10.0,0.7,0.0,False,2021-11-07T14:00:00Z,2
Craig Cathcart,DEF,Watford,Man Utd,90,0,0,1,0,14,0,0,0,0,0,0,1.8,17.4,0.4,0.0,True,2021-11-20T15:00:00Z,2
Craig Cathcart,DEF,Watford,Leicester,90,0,0,4,0,13,0,0,0,0,0,0,2.1,20.8,0.2,0.0,False,2021-11-28T14:00:00Z,0
Craig Cathcart,DEF,Watford,Crystal Palace,90,0,0,2,0,8,0,0,0,0,0,0,0.5,4.8,0.2,0.0,True,2021-12-01T19:30:00Z,1
Craig Cathcart,DEF,Watford,Man City,90,0,0,3,0,9,1,0,0,0,0,0,2.4,23.8,0.1,0.0,True,2021-12-04T17:30:00Z,0
Craig Cathcart,DEF,Watford,Brighton,90,0,0,2,0,10,0,0,0,0,0,0,2.2,22.0,0.4,0.0,False,2021-12-10T20:00:00Z,1
Craig Cathcart,DEF,Watford,West Ham,90,0,0,4,0,12,0,0,0,0,0,0,2.1,20.4,0.7,0.0,True,2021-12-28T15:00:00Z,0
Craig Cathcart,DEF,Watford,Spurs,90,0,0,1,0,8,0,0,0,0,0,0,2.6,25.4,0.3,0.0,True,2022-01-01T15:00:00Z,2
Craig Cathcart,DEF,Watford,Newcastle,90,0,0,1,0,18,0,0,0,0,0,0,3.9,24.2,10.4,4.0,False,2022-01-15T15:00:00Z,2
Craig Cathcart,DEF,Watford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-21T20:00:00Z,0
Craig Cathcart,DEF,Watford,Chelsea,90,0,0,0,1,22,0,0,0,0,0,0,2.0,18.8,0.8,0.0,False,2022-02-05T18:00:00Z,6
Craig Cathcart,DEF,Watford,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,1.7,14.8,0.2,2.0,False,2022-02-08T19:45:00Z,2
Craig Cathcart,DEF,Watford,Burnley,90,0,0,2,0,15,0,0,0,0,0,0,3.4,16.0,0.3,18.0,True,2022-02-12T15:00:00Z,1
Craig Cathcart,DEF,Watford,Aston Villa,90,0,0,0,1,26,0,0,0,0,0,0,2.7,27.2,0.2,0.0,False,2022-02-19T15:00:00Z,7
Craig Cathcart,DEF,Watford,Everton,90,0,0,4,0,22,0,0,0,0,0,0,3.0,17.4,10.8,2.0,True,2022-02-23T19:30:00Z,0
Craig Cathcart,DEF,Watford,Man Utd,90,0,0,0,1,25,0,0,0,0,0,0,1.7,17.0,0.4,0.0,False,2022-02-26T15:00:00Z,6
Craig Cathcart,DEF,Watford,Arsenal,90,0,0,3,0,15,0,0,0,0,0,0,2.8,27.2,1.0,0.0,True,2022-03-06T14:00:00Z,1
Craig Cathcart,DEF,Watford,Wolves,90,0,0,4,0,16,0,0,0,0,0,0,1.5,15.0,0.4,0.0,False,2022-03-10T19:30:00Z,0
Craig Cathcart,DEF,Watford,Southampton,1,0,0,0,0,3,0,0,0,0,0,0,0.2,2.2,0.1,0.0,False,2022-03-13T14:00:00Z,1
Craig Cathcart,DEF,Watford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-02T11:30:00Z,0
Craig Cathcart,DEF,Watford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-09T14:00:00Z,0
Craig Cathcart,DEF,Watford,Brighton,3,0,0,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-16T14:00:00Z,1
Craig Cathcart,DEF,Watford,Man City,22,0,0,0,0,2,0,0,0,0,0,0,0.2,1.8,0.0,0.0,False,2022-04-23T14:00:00Z,1
Craig Cathcart,DEF,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-30T14:00:00Z,0
Craig Cathcart,DEF,Watford,Everton,90,0,0,1,0,8,0,0,0,0,0,0,2.8,22.4,0.0,6.0,False,2022-05-07T14:00:00Z,2
Craig Cathcart,DEF,Watford,Fulham,4,0,0,0,0,5,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,2022-05-11T18:45:00Z,1
Craig Cathcart,DEF,Watford,Leicester,90,0,0,5,0,13,0,0,0,0,0,0,0.8,7.4,0.5,0.0,True,2022-05-15T13:00:00Z,0
Craig Cathcart,DEF,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,0
