name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Max Aarons,DEF,Norwich,Liverpool,90,0,0,3,0,15,0,0,0,0,0,0,4.3,29.4,12.4,1.0,True,2021-08-14T16:30:00Z,1
Max Aarons,DEF,Norwich,Man City,90,0,0,5,0,8,0,0,0,0,0,0,1.4,8.8,3.6,2.0,False,2021-08-21T14:00:00Z,0
Max Aarons,DEF,Norwich,Leicester,90,0,0,2,0,27,0,0,0,0,0,0,9.1,30.2,42.8,18.0,True,2021-08-28T14:00:00Z,3
Max Aarons,DEF,Norwich,Arsenal,90,0,0,1,0,9,1,0,0,0,0,0,6.0,25.2,20.0,15.0,False,2021-09-11T14:00:00Z,1
Max Aarons,DEF,Norwich,West Brom,90,0,0,3,0,16,0,0,0,0,0,0,3.1,12.4,16.4,2.0,True,2021-09-18T14:00:00Z,1
Max Aarons,DEF,Norwich,Fulham,90,0,0,2,0,11,0,0,0,0,0,0,1.2,9.0,1.9,1.0,False,2021-09-25T14:00:00Z,1
Max Aarons,DEF,Norwich,Chelsea,90,0,0,0,1,20,1,0,0,0,0,0,4.2,11.6,11.7,19.0,False,2021-10-02T14:00:00Z,5
Max Aarons,DEF,Norwich,Burnley,90,0,0,0,1,20,0,0,0,0,0,0,2.1,6.0,14.6,0.0,True,2021-10-16T14:00:00Z,6
Max Aarons,DEF,Norwich,Crystal Palace,90,0,0,7,0,-1,0,0,1,0,0,0,0.1,0.0,2.2,0.0,False,2021-10-23T11:30:00Z,-3
Max Aarons,DEF,Norwich,Leeds,90,0,0,2,0,8,0,0,0,0,0,0,3.3,8.6,4.8,20.0,True,2021-10-31T14:00:00Z,1
Max Aarons,DEF,Norwich,Brighton,90,0,0,1,0,5,1,0,0,0,0,0,2.0,15.2,0.8,4.0,False,2021-11-06T15:00:00Z,1
Max Aarons,DEF,Norwich,Southampton,90,0,1,1,0,22,0,0,0,0,0,0,4.2,26.8,15.6,0.0,True,2021-11-20T15:00:00Z,5
Max Aarons,DEF,Norwich,Wolves,90,0,0,0,1,20,0,0,0,0,0,0,5.9,13.6,12.7,33.0,True,2021-11-27T15:00:00Z,6
Max Aarons,DEF,Norwich,Newcastle,90,0,0,1,0,16,0,0,0,0,0,0,5.7,19.6,35.7,2.0,False,2021-11-30T19:30:00Z,2
Max Aarons,DEF,Norwich,Spurs,90,0,0,3,0,19,0,0,0,0,0,0,1.8,14.6,3.7,0.0,False,2021-12-05T14:00:00Z,1
Max Aarons,DEF,Norwich,Man Utd,90,0,0,1,0,11,0,0,0,0,0,0,2.2,9.8,12.3,0.0,True,2021-12-11T17:30:00Z,2
Max Aarons,DEF,Norwich,Aston Villa,90,0,0,2,0,8,1,0,0,0,0,0,3.4,29.2,4.3,0.0,True,2021-12-14T19:45:00Z,0
Max Aarons,DEF,Norwich,Arsenal,90,0,0,5,0,6,0,0,0,0,0,0,2.1,19.2,1.5,0.0,True,2021-12-26T15:00:00Z,0
Max Aarons,DEF,Norwich,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-28T15:00:00Z,0
Max Aarons,DEF,Norwich,West Ham,90,0,0,2,0,17,0,0,0,0,0,0,2.7,23.6,1.2,2.0,False,2022-01-12T19:45:00Z,1
Max Aarons,DEF,Norwich,Fulham,79,0,0,1,0,2,1,0,0,0,0,0,0.3,0.0,2.4,2.0,True,2022-01-15T15:00:00Z,1
Max Aarons,DEF,Norwich,West Brom,90,0,0,0,1,22,0,0,0,0,0,0,1.7,16.4,1.0,0.0,False,2022-01-21T20:00:00Z,6
Max Aarons,DEF,Norwich,Everton,90,0,0,1,0,10,0,0,0,0,0,0,1.3,13.0,0.3,0.0,True,2022-02-09T19:45:00Z,2
Max Aarons,DEF,Norwich,Man City,62,0,0,2,0,9,0,0,0,0,0,0,2.9,8.0,0.7,20.0,True,2022-02-12T17:30:00Z,1
Max Aarons,DEF,Norwich,Liverpool,90,0,0,3,0,11,0,0,0,0,0,0,3.5,19.4,11.1,4.0,False,2022-02-19T15:00:00Z,1
Max Aarons,DEF,Norwich,Southampton,90,0,0,2,0,14,0,0,0,0,0,0,1.5,13.4,1.9,0.0,False,2022-02-25T20:00:00Z,1
Max Aarons,DEF,Norwich,Brighton,9,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.7,0.0,True,2022-03-05T15:00:00Z,1
Max Aarons,DEF,Norwich,Crystal Palace,90,0,0,3,0,8,0,0,0,0,0,0,2.6,20.0,1.6,4.0,True,2022-03-10T19:30:00Z,1
Max Aarons,DEF,Norwich,Leeds,87,0,0,1,0,10,1,0,0,0,0,0,3.7,13.8,15.5,8.0,False,2022-03-13T14:00:00Z,1
Max Aarons,DEF,Norwich,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-02T14:00:00Z,0
Max Aarons,DEF,Norwich,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-10T13:00:00Z,0
Max Aarons,DEF,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-16T14:00:00Z,0
Max Aarons,DEF,Norwich,Newcastle,32,0,0,0,0,5,0,0,0,0,0,0,1.9,5.4,11.7,2.0,True,2022-04-23T14:00:00Z,1
Max Aarons,DEF,Norwich,Aston Villa,90,0,0,2,0,5,1,0,0,0,0,0,2.9,15.2,12.8,1.0,False,2022-04-30T14:00:00Z,0
Max Aarons,DEF,Norwich,West Ham,90,0,0,4,0,12,0,0,0,0,0,0,1.8,15.8,1.7,0.0,True,2022-05-08T13:00:00Z,0
Max Aarons,DEF,Norwich,Leicester,90,0,0,3,0,17,0,0,0,0,0,0,4.0,21.0,15.0,4.0,False,2022-05-11T18:45:00Z,1
Max Aarons,DEF,Norwich,Wolves,90,0,1,1,0,14,1,0,0,0,0,0,4.5,22.8,20.6,2.0,False,2022-05-15T13:00:00Z,4
Max Aarons,DEF,Norwich,Spurs,90,0,0,5,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,0
