name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Pascal Struijk,DEF,Leeds,Man Utd,90,0,0,5,0,15,0,0,0,0,0,0,1.6,16.4,0.0,0.0,False,2021-08-14T11:30:00Z,0
Pascal Struijk,DEF,Leeds,Fulham,90,0,0,2,0,17,0,0,0,0,0,0,4.2,23.4,10.4,8.0,True,2021-08-21T14:00:00Z,1
Pascal Struijk,DEF,Leeds,Chelsea,90,0,0,1,0,13,1,0,0,0,0,0,2.4,23.4,0.3,0.0,False,2021-08-29T13:00:00Z,1
Pascal Struijk,DEF,Leeds,Liverpool,26,0,0,2,0,-6,0,1,0,0,0,0,1.1,10.4,0.1,0.0,True,2021-09-12T15:30:00Z,-3
Pascal Struijk,DEF,Leeds,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-17T19:00:00Z,0
Pascal Struijk,DEF,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-25T14:00:00Z,0
Pascal Struijk,DEF,Leeds,West Brom,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,1
Pascal Struijk,DEF,Leeds,Southampton,90,0,0,1,0,7,1,0,0,0,0,0,0.6,6.2,0.2,0.0,False,2021-10-16T14:00:00Z,1
Pascal Struijk,DEF,Leeds,Wolves,90,0,0,1,0,12,0,0,0,0,0,0,2.0,14.8,3.3,2.0,True,2021-10-23T14:00:00Z,2
Pascal Struijk,DEF,Leeds,Sheffield Utd,90,0,0,1,0,10,0,0,0,0,0,0,2.2,22.0,0.3,0.0,False,2021-10-31T14:00:00Z,2
Pascal Struijk,DEF,Leeds,Leicester,90,0,0,1,0,16,0,0,0,0,0,0,1.3,10.4,2.3,0.0,True,2021-11-07T14:00:00Z,2
