name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Sergio Reguilón,DEF,Spurs,Man City,90,0,0,0,1,22,0,0,0,0,0,0,3.8,10.4,25.3,2.0,True,2021-08-15T15:30:00Z,7
Sergio Reguilón,DEF,Spurs,Wolves,90,0,0,0,1,24,0,0,0,0,0,0,2.4,19.2,4.3,0.0,False,2021-08-22T13:00:00Z,6
Sergio Reguilón,DEF,Spurs,West Brom,90,0,0,0,1,31,0,0,0,0,0,0,4.1,13.8,17.4,10.0,True,2021-08-29T13:00:00Z,9
Sergio Reguilón,DEF,Spurs,Everton,90,0,0,3,0,8,0,0,0,0,0,0,4.3,26.2,14.7,2.0,False,2021-09-11T11:30:00Z,1
Sergio Reguilón,DEF,Spurs,Crystal Palace,90,0,0,3,0,16,0,0,0,0,0,0,2.9,14.8,11.8,2.0,True,2021-09-19T15:30:00Z,1
Sergio Reguilón,DEF,Spurs,Arsenal,90,0,1,3,0,26,0,0,0,0,0,0,6.9,35.4,32.0,2.0,False,2021-09-26T15:30:00Z,4
Sergio Reguilón,DEF,Spurs,Aston Villa,90,0,0,1,0,15,0,0,0,0,0,0,4.0,31.4,6.7,2.0,True,2021-10-03T13:00:00Z,2
Sergio Reguilón,DEF,Spurs,Newcastle,90,0,1,2,0,21,0,0,0,0,0,0,4.2,24.0,13.9,4.0,False,2021-10-17T15:30:00Z,4
Sergio Reguilón,DEF,Spurs,West Ham,83,0,0,1,0,12,0,0,0,0,0,0,5.6,20.4,34.8,1.0,False,2021-10-24T13:00:00Z,2
Sergio Reguilón,DEF,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T16:30:00Z,0
Sergio Reguilón,DEF,Spurs,Fulham,70,0,0,0,1,13,1,0,0,0,0,0,4.7,6.4,16.1,24.0,False,2021-11-07T14:00:00Z,5
Sergio Reguilón,DEF,Spurs,Leeds,78,1,0,1,0,26,0,0,0,0,0,0,12.3,51.0,15.2,57.0,True,2021-11-21T16:30:00Z,9
Sergio Reguilón,DEF,Spurs,Brighton,90,0,1,0,1,35,0,0,0,0,0,0,6.3,29.8,26.8,6.0,True,2021-12-02T19:30:00Z,12
Sergio Reguilón,DEF,Spurs,Sheffield Utd,21,0,0,0,0,1,1,0,0,0,0,0,0.2,1.0,0.6,0.0,True,2021-12-05T14:00:00Z,0
Sergio Reguilón,DEF,Spurs,Liverpool,4,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,2021-12-19T16:30:00Z,1
Sergio Reguilón,DEF,Spurs,Everton,90,0,0,0,1,37,0,0,0,0,0,0,11.6,29.4,64.7,22.0,True,2021-12-26T15:00:00Z,7
Sergio Reguilón,DEF,Spurs,Southampton,45,0,0,1,0,1,1,0,0,0,0,0,0.4,0.8,2.8,0.0,False,2021-12-28T15:00:00Z,0
Sergio Reguilón,DEF,Spurs,West Brom,82,0,0,0,1,21,0,0,0,0,0,0,6.1,13.4,14.8,33.0,False,2022-01-01T15:00:00Z,6
