name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Joshua King,FWD,Watford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T14:00:00Z,0
Joshua King,FWD,Watford,Burnley,25,0,0,0,0,6,0,0,0,0,0,0,4.8,8.6,37.6,2.0,False,2021-08-21T16:30:00Z,1
Joshua King,FWD,Watford,Spurs,64,0,0,1,0,8,0,0,0,0,0,0,3.3,6.2,23.1,4.0,False,2021-08-29T13:00:00Z,2
Joshua King,FWD,Watford,Wolves,52,0,0,0,0,2,0,0,0,0,0,0,2.6,3.0,3.8,19.0,True,2021-09-11T14:00:00Z,1
Joshua King,FWD,Watford,Sheffield Utd,90,0,2,1,0,29,0,0,0,0,0,0,8.5,23.2,22.3,39.0,False,2021-09-18T14:00:00Z,10
Joshua King,FWD,Watford,Newcastle,90,0,1,1,0,17,0,0,0,0,0,0,7.3,28.6,21.2,23.0,True,2021-09-25T14:00:00Z,5
Joshua King,FWD,Watford,Leeds,45,0,0,1,0,1,0,0,0,0,0,0,0.2,0.0,0.3,2.0,False,2021-10-02T14:00:00Z,1
Joshua King,FWD,Watford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-16T11:30:00Z,0
Joshua King,FWD,Watford,Fulham,90,3,0,2,0,72,1,0,0,0,0,0,24.1,106.4,12.9,122.0,False,2021-10-23T14:00:00Z,16
Joshua King,FWD,Watford,Southampton,90,0,0,1,0,8,0,0,0,0,0,0,6.3,8.8,41.7,12.0,True,2021-10-30T14:00:00Z,2
Joshua King,FWD,Watford,Arsenal,90,0,0,1,0,0,1,0,0,0,0,0,5.7,2.2,11.4,43.0,False,2021-11-07T14:00:00Z,1
Joshua King,FWD,Watford,Man Utd,90,1,0,1,0,23,0,0,0,0,0,0,15.5,44.8,11.9,98.0,True,2021-11-20T15:00:00Z,6
Joshua King,FWD,Watford,Leicester,90,1,0,4,0,19,0,0,0,0,0,0,9.6,33.8,2.3,60.0,False,2021-11-28T14:00:00Z,6
Joshua King,FWD,Watford,Crystal Palace,90,0,0,2,0,4,0,0,0,0,0,0,2.6,0.8,17.1,8.0,True,2021-12-01T19:30:00Z,2
