name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Salomón Rondón,FWD,Everton,Chelsea,9,0,0,0,0,3,0,0,0,0,0,0,0.1,0.0,0.5,0.0,True,2021-09-13T19:00:00Z,1
Salomón Rondón,FWD,Everton,Aston Villa,62,0,0,0,1,2,0,0,0,0,0,0,3.9,0.0,0.3,41.0,False,2021-09-18T16:30:00Z,2
Salomón Rondón,FWD,Everton,Sheffield Utd,90,0,0,0,1,1,0,0,0,0,0,0,3.4,2.4,25.2,6.0,True,2021-09-25T14:00:00Z,2
Salomón Rondón,FWD,Everton,Man Utd,90,0,0,1,0,3,0,0,0,0,0,0,3.5,0.2,12.4,22.0,False,2021-10-02T11:30:00Z,2
Salomón Rondón,FWD,Everton,West Ham,90,0,0,1,0,3,0,0,0,0,0,0,4.5,6.2,4.2,35.0,True,2021-10-17T13:00:00Z,2
Salomón Rondón,FWD,Everton,West Brom,90,0,0,5,0,2,1,0,0,0,0,0,2.5,6.4,5.0,14.0,True,2021-10-23T14:00:00Z,1
Salomón Rondón,FWD,Everton,Wolves,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-01T20:00:00Z,1
Salomón Rondón,FWD,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-07T14:00:00Z,0
Salomón Rondón,FWD,Everton,Man City,27,0,0,1,0,3,0,0,0,0,0,0,0.1,0.4,0.8,0.0,False,2021-11-21T14:00:00Z,1
Salomón Rondón,FWD,Everton,Brighton,90,0,0,1,0,0,1,0,0,0,0,0,10.2,8.6,11.3,82.0,False,2021-11-28T14:00:00Z,1
Salomón Rondón,FWD,Everton,Liverpool,58,0,0,2,0,8,0,0,0,0,0,0,0.9,8.2,0.8,0.0,True,2021-12-01T20:15:00Z,1
