name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Timo Werner,FWD,Chelsea,Everton,90,0,0,0,1,6,0,0,0,0,0,0,4.0,1.2,12.8,26.0,True,2021-08-14T14:00:00Z,2
Timo Werner,FWD,Chelsea,Arsenal,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-22T15:30:00Z,1
Timo Werner,FWD,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-28T16:30:00Z,0
Timo Werner,FWD,Chelsea,Aston Villa,8,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,2021-09-11T16:30:00Z,1
Timo Werner,FWD,Chelsea,Spurs,20,0,1,0,0,4,1,0,0,0,0,0,5.3,17.2,12.8,23.0,False,2021-09-19T15:30:00Z,3
Timo Werner,FWD,Chelsea,Man City,90,0,0,1,0,1,0,0,0,0,0,0,4.5,3.4,1.3,40.0,True,2021-09-25T11:30:00Z,2
Timo Werner,FWD,Chelsea,Southampton,90,1,0,1,0,25,0,0,0,0,0,0,16.8,47.8,2.0,118.0,True,2021-10-02T14:00:00Z,7
Timo Werner,FWD,Chelsea,Brighton,90,0,0,0,1,4,0,0,0,0,0,0,2.0,0.0,5.9,15.0,False,2021-10-16T16:30:00Z,2
Timo Werner,FWD,Chelsea,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-23T11:30:00Z,0
Timo Werner,FWD,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-30T14:00:00Z,0
Timo Werner,FWD,Chelsea,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-06T15:00:00Z,0
Timo Werner,FWD,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-20T12:30:00Z,0
Timo Werner,FWD,Chelsea,Man Utd,81,0,0,1,0,3,0,0,0,0,0,0,8.1,0.0,1.3,82.0,True,2021-11-28T16:30:00Z,2
Timo Werner,FWD,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-01T19:30:00Z,0
Timo Werner,FWD,Chelsea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-04T12:30:00Z,0
Timo Werner,FWD,Chelsea,Leeds,73,0,0,1,0,4,0,0,0,0,0,0,2.6,2.8,2.4,21.0,True,2021-12-11T15:00:00Z,2
Timo Werner,FWD,Chelsea,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-16T19:45:00Z,0
Timo Werner,FWD,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-19T14:00:00Z,0
Timo Werner,FWD,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-26T17:30:00Z,0
Timo Werner,FWD,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-29T19:30:00Z,0
Timo Werner,FWD,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-02T16:30:00Z,0
Timo Werner,FWD,Chelsea,Man City,21,0,0,1,0,2,0,0,0,0,0,0,2.1,0.2,0.7,20.0,False,2022-01-15T12:30:00Z,1
Timo Werner,FWD,Chelsea,Burnley,10,0,0,0,0,2,0,0,0,0,0,0,2.5,0.4,1.0,24.0,False,2022-01-18T20:00:00Z,1
Timo Werner,FWD,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-23T16:30:00Z,0
Timo Werner,FWD,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-19T15:00:00Z,0
Timo Werner,FWD,Chelsea,Chelsea,12,0,0,0,0,1,0,0,0,0,0,0,0.2,0.0,0.3,2.0,False,2022-03-05T15:00:00Z,1
Timo Werner,FWD,Chelsea,Sheffield Utd,85,0,0,1,0,5,0,0,0,0,0,0,2.7,0.0,4.7,26.0,False,2022-03-10T19:30:00Z,2
Timo Werner,FWD,Chelsea,Newcastle,62,0,0,0,1,5,0,0,0,0,0,0,3.1,2.2,4.4,24.0,True,2022-03-13T14:00:00Z,2
Timo Werner,FWD,Chelsea,Brighton,63,0,0,3,0,4,0,0,0,0,0,0,5.3,4.4,24.3,24.0,True,2022-04-02T14:00:00Z,2
Timo Werner,FWD,Chelsea,Southampton,90,2,1,0,1,56,0,0,0,0,0,0,20.6,70.2,21.1,115.0,False,2022-04-09T14:00:00Z,15
Timo Werner,FWD,Chelsea,Arsenal,90,1,0,4,0,29,0,0,0,0,0,0,9.3,35.6,22.4,35.0,True,2022-04-20T18:45:00Z,8
Timo Werner,FWD,Chelsea,West Ham,75,0,0,0,1,4,0,0,0,0,0,0,12.0,6.0,27.8,86.0,True,2022-04-24T13:00:00Z,2
Timo Werner,FWD,Chelsea,Man Utd,70,0,0,1,0,3,0,0,0,0,0,0,3.0,3.2,3.5,23.0,False,2022-04-28T18:45:00Z,2
Timo Werner,FWD,Chelsea,Fulham,67,0,0,1,0,5,0,0,0,0,0,0,2.7,5.6,2.8,19.0,False,2022-05-01T13:00:00Z,2
Timo Werner,FWD,Chelsea,Wolves,90,0,0,2,0,8,0,0,0,0,0,0,5.9,7.4,1.5,50.0,True,2022-05-07T14:00:00Z,2
Timo Werner,FWD,Chelsea,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-11T18:30:00Z,0
Timo Werner,FWD,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-19T19:00:00Z,0
Timo Werner,FWD,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,0
