name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Angus Gunn,GK,Norwich,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T16:30:00Z,0
Angus Gunn,GK,Norwich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-21T14:00:00Z,0
Angus Gunn,GK,Norwich,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-28T14:00:00Z,0
Angus Gunn,GK,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-11T14:00:00Z,0
Angus Gunn,GK,Norwich,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-18T14:00:00Z,0
Angus Gunn,GK,Norwich,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T14:00:00Z,0
Angus Gunn,GK,Norwich,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T14:00:00Z,0
Angus Gunn,GK,Norwich,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-16T14:00:00Z,0
Angus Gunn,GK,Norwich,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-23T11:30:00Z,0
Angus Gunn,GK,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-31T14:00:00Z,0
Angus Gunn,GK,Norwich,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-06T15:00:00Z,0
Angus Gunn,GK,Norwich,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T15:00:00Z,0
Angus Gunn,GK,Norwich,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-27T15:00:00Z,0
Angus Gunn,GK,Norwich,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-30T19:30:00Z,0
Angus Gunn,GK,Norwich,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-05T14:00:00Z,0
Angus Gunn,GK,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-11T17:30:00Z,0
Angus Gunn,GK,Norwich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-14T19:45:00Z,0
Angus Gunn,GK,Norwich,Arsenal,90,0,0,5,0,11,0,0,0,1,0,0,0.8,8.0,0.0,0.0,True,2021-12-26T15:00:00Z,0
Angus Gunn,GK,Norwich,Everton,90,0,0,3,0,14,0,0,0,3,0,0,2.8,28.2,0.0,0.0,False,2021-12-28T15:00:00Z,2
Angus Gunn,GK,Norwich,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-12T19:45:00Z,0
Angus Gunn,GK,Norwich,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-15T15:00:00Z,0
Angus Gunn,GK,Norwich,West Brom,90,0,0,0,1,26,0,0,0,3,0,0,2.6,26.2,0.0,0.0,False,2022-01-21T20:00:00Z,9
Angus Gunn,GK,Norwich,Everton,90,0,0,1,0,18,0,0,0,4,0,0,3.2,31.8,0.0,0.0,True,2022-02-09T19:45:00Z,4
Angus Gunn,GK,Norwich,Man City,90,0,0,4,0,34,0,0,0,5,0,1,6.3,63.0,0.0,0.0,True,2022-02-12T17:30:00Z,6
Angus Gunn,GK,Norwich,Liverpool,90,0,0,3,0,18,0,0,0,4,0,0,2.8,27.8,0.0,0.0,False,2022-02-19T15:00:00Z,2
Angus Gunn,GK,Norwich,Southampton,90,0,0,2,0,23,0,0,0,7,0,0,5.4,54.0,0.0,0.0,False,2022-02-25T20:00:00Z,3
Angus Gunn,GK,Norwich,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-03-05T15:00:00Z,0
