name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Douglas Luiz Soares de Paulo,MID,Aston Villa,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-14T14:00:00Z,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,Newcastle,88,0,0,0,1,9,1,0,0,0,0,0,0.4,2.0,1.0,1.0,True,2021-08-21T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Brighton,90,0,0,1,0,10,0,0,0,0,0,0,2.3,7.4,11.5,4.0,True,2021-08-28T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Crystal Palace,79,0,0,2,0,14,0,0,0,0,0,0,1.8,6.8,1.7,9.0,False,2021-09-11T16:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Fulham,90,0,1,0,1,23,0,0,0,0,0,0,10.0,35.2,63.4,1.0,True,2021-09-18T16:30:00Z,6
Douglas Luiz Soares de Paulo,MID,Aston Villa,Man Utd,90,0,1,0,1,23,0,0,0,0,0,0,7.7,25.8,42.8,8.0,False,2021-09-25T11:30:00Z,7
Douglas Luiz Soares de Paulo,MID,Aston Villa,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,5.4,15.6,38.0,0.0,False,2021-10-03T13:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Wolves,67,0,0,0,1,16,0,0,0,0,0,0,2.5,12.4,11.9,1.0,True,2021-10-16T14:00:00Z,3
Douglas Luiz Soares de Paulo,MID,Aston Villa,Arsenal,90,0,0,3,0,16,1,0,0,0,0,0,2.6,20.6,5.8,0.0,False,2021-10-22T19:00:00Z,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-31T16:30:00Z,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-05T20:00:00Z,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T15:00:00Z,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,Everton,23,0,0,1,0,0,1,0,0,0,0,0,0.5,3.8,0.8,0.0,False,2021-11-27T15:00:00Z,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,Man City,90,0,1,2,0,26,0,0,0,0,0,0,10.6,39.6,66.6,0.0,True,2021-12-01T20:15:00Z,5
Douglas Luiz Soares de Paulo,MID,Aston Villa,Leicester,76,0,0,1,0,11,0,0,0,0,0,0,1.6,5.8,1.9,8.0,True,2021-12-05T16:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Liverpool,90,0,0,1,0,14,0,0,0,0,0,0,2.5,14.6,1.7,9.0,False,2021-12-11T15:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Sheffield Utd,90,0,0,0,1,16,0,0,0,0,0,0,2.2,13.4,8.9,0.0,False,2021-12-14T19:45:00Z,3
Douglas Luiz Soares de Paulo,MID,Aston Villa,Crystal Palace,90,0,0,3,0,16,0,0,0,0,0,0,2.5,12.2,12.3,0.0,True,2021-12-26T17:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Brighton,90,0,0,2,0,11,0,0,0,0,0,0,4.4,9.8,34.0,0.0,False,2022-01-02T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Man Utd,90,0,0,2,0,15,0,0,0,0,0,0,4.4,17.8,26.3,0.0,True,2022-01-15T17:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Fulham,90,0,0,0,1,19,0,0,0,0,0,0,2.4,12.0,10.8,1.0,False,2022-01-22T12:30:00Z,3
Douglas Luiz Soares de Paulo,MID,Aston Villa,Leeds,90,0,0,3,0,11,0,0,0,0,0,0,2.9,10.4,18.7,0.0,True,2022-02-09T20:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Newcastle,90,0,0,1,0,10,1,0,0,0,0,0,3.4,13.6,13.3,7.0,False,2022-02-13T14:00:00Z,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,West Brom,57,0,0,0,0,4,0,0,0,0,0,0,1.3,3.2,1.8,8.0,True,2022-02-19T15:00:00Z,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,Burnley,71,0,0,0,1,8,1,0,0,0,0,0,1.4,8.6,5.8,0.0,False,2022-02-26T15:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Southampton,90,1,0,0,1,30,0,0,0,0,0,0,9.7,46.0,1.4,50.0,True,2022-03-05T15:00:00Z,8
Douglas Luiz Soares de Paulo,MID,Aston Villa,Leeds,86,0,0,0,1,9,1,0,0,0,0,0,4.1,14.0,5.8,21.0,False,2022-03-10T19:45:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,West Ham,78,0,0,1,0,13,0,0,0,0,0,0,1.9,6.8,11.8,0.0,False,2022-03-13T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Arsenal,90,0,0,1,0,18,0,0,0,0,0,0,1.4,9.2,3.3,1.0,True,2022-03-19T12:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Wolves,18,0,0,0,0,2,0,0,0,0,0,0,0.2,1.6,0.4,0.0,False,2022-04-02T14:00:00Z,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,Spurs,90,0,0,4,0,19,0,0,0,0,0,0,6.6,27.4,38.7,0.0,True,2022-04-09T16:30:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Leicester,75,0,0,0,1,11,1,0,0,0,0,0,2.2,7.0,15.0,0.0,False,2022-04-23T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Sheffield Utd,17,0,0,0,0,3,0,0,0,0,0,0,0.6,5.6,0.7,0.0,True,2022-04-30T14:00:00Z,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,Chelsea,90,0,0,1,0,10,0,0,0,0,0,0,1.9,6.4,2.8,10.0,False,2022-05-07T14:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Liverpool,90,1,0,2,0,31,0,0,0,0,0,0,11.4,48.2,16.1,50.0,True,2022-05-10T19:00:00Z,9
Douglas Luiz Soares de Paulo,MID,Aston Villa,Everton,90,0,0,1,0,13,0,0,0,0,0,0,5.5,10.4,36.2,8.0,True,2022-05-15T13:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Chelsea,90,0,0,1,0,17,0,0,0,0,0,0,6.0,22.0,36.3,2.0,True,2022-05-19T19:00:00Z,2
Douglas Luiz Soares de Paulo,MID,Aston Villa,Man City,90,0,0,3,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,2
