name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Fabio Henrique Tavares,MID,Liverpool,Sheffield Utd,29,0,0,0,0,4,0,0,0,0,0,0,0.6,1.6,4.6,0.0,False,2021-08-14T16:30:00Z,1
Fabio Henrique Tavares,MID,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-21T11:30:00Z,0
Fabio Henrique Tavares,MID,Liverpool,Crystal Palace,90,0,0,1,0,13,0,0,0,0,0,0,3.0,9.4,5.1,15.0,True,2021-08-28T16:30:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Leeds,90,1,0,0,1,27,1,0,0,0,0,0,11.1,47.2,4.9,59.0,False,2021-09-12T15:30:00Z,7
Fabio Henrique Tavares,MID,Liverpool,Everton,90,0,0,0,1,16,0,0,0,0,0,0,4.4,13.0,2.7,28.0,True,2021-09-18T14:00:00Z,3
Fabio Henrique Tavares,MID,Liverpool,Brighton,90,0,1,3,0,27,0,0,0,0,0,0,4.2,24.0,18.0,0.0,False,2021-09-25T16:30:00Z,5
Fabio Henrique Tavares,MID,Liverpool,Man City,90,0,0,2,0,6,1,0,0,0,0,0,3.8,1.8,2.0,34.0,True,2021-10-03T15:30:00Z,1
Fabio Henrique Tavares,MID,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T11:30:00Z,0
Fabio Henrique Tavares,MID,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-24T15:30:00Z,0
Fabio Henrique Tavares,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T14:00:00Z,0
Fabio Henrique Tavares,MID,Liverpool,West Ham,79,0,0,3,0,15,0,0,0,0,0,0,1.7,7.8,9.2,0.0,False,2021-11-07T16:30:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Arsenal,90,0,0,0,1,16,1,0,0,0,0,0,2.2,9.0,13.3,0.0,True,2021-11-20T17:30:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Southampton,90,0,0,0,1,17,0,0,0,0,0,0,5.4,30.2,23.7,0.0,True,2021-11-27T15:00:00Z,3
Fabio Henrique Tavares,MID,Liverpool,Fulham,90,0,0,1,0,12,0,0,0,0,0,0,2.6,14.4,11.8,0.0,False,2021-12-01T20:15:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Wolves,90,0,0,0,1,10,1,0,0,0,0,0,2.1,11.8,9.6,0.0,False,2021-12-04T15:00:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Aston Villa,90,0,0,0,1,17,0,0,0,0,0,0,4.7,23.4,23.5,0.0,True,2021-12-11T15:00:00Z,3
Fabio Henrique Tavares,MID,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-16T20:00:00Z,0
Fabio Henrique Tavares,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-19T16:30:00Z,0
Fabio Henrique Tavares,MID,Liverpool,Leicester,63,0,0,1,0,20,0,0,0,0,0,0,2.9,14.6,14.1,0.0,False,2021-12-28T20:00:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Crystal Palace,90,0,0,2,0,10,0,0,0,0,0,0,1.6,10.4,5.8,0.0,False,2022-01-02T16:30:00Z,2
Fabio Henrique Tavares,MID,Liverpool,Brighton,90,1,0,0,1,40,0,0,0,0,0,0,13.9,52.6,45.9,40.0,True,2022-01-16T14:00:00Z,10
Fabio Henrique Tavares,MID,Liverpool,Everton,90,1,0,1,0,30,0,0,0,0,0,0,7.2,40.6,3.6,28.0,False,2022-01-23T14:00:00Z,9
Fabio Henrique Tavares,MID,Liverpool,Leicester,90,0,0,0,1,14,0,0,0,0,0,0,2.7,23.6,3.3,0.0,True,2022-02-10T19:45:00Z,3
Fabio Henrique Tavares,MID,Liverpool,Chelsea,90,1,0,0,1,31,0,0,0,0,0,0,11.3,42.4,3.4,67.0,False,2022-02-13T14:00:00Z,10
Fabio Henrique Tavares,MID,Liverpool,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-19T15:00:00Z,0
