name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Granit Xhaka,MID,Arsenal,Brighton,90,0,0,2,0,13,0,0,0,0,0,0,4.5,15.2,24.7,5.0,False,2021-08-13T19:00:00Z,2
Granit Xhaka,MID,Arsenal,Crystal Palace,90,0,0,2,0,12,0,0,0,0,0,0,4.8,18.0,26.0,4.0,True,2021-08-22T15:30:00Z,2
Granit Xhaka,MID,Arsenal,Man City,34,0,0,5,0,-5,0,1,0,0,0,0,0.0,0.0,0.3,0.0,False,2021-08-28T11:30:00Z,-2
Granit Xhaka,MID,Arsenal,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-11T14:00:00Z,0
Granit Xhaka,MID,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-18T14:00:00Z,0
Granit Xhaka,MID,Arsenal,Spurs,81,0,0,1,0,15,0,0,0,0,0,0,1.1,9.0,2.2,0.0,True,2021-09-26T15:30:00Z,2
Granit Xhaka,MID,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T16:30:00Z,0
Granit Xhaka,MID,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-18T19:00:00Z,0
Granit Xhaka,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-22T19:00:00Z,0
Granit Xhaka,MID,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-30T11:30:00Z,0
Granit Xhaka,MID,Arsenal,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-07T14:00:00Z,0
Granit Xhaka,MID,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-20T17:30:00Z,0
Granit Xhaka,MID,Arsenal,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-27T12:30:00Z,0
Granit Xhaka,MID,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-02T20:15:00Z,0
Granit Xhaka,MID,Arsenal,Fulham,90,0,0,2,0,7,1,0,0,0,0,0,1.6,11.0,3.0,2.0,False,2021-12-06T20:00:00Z,1
Granit Xhaka,MID,Arsenal,Southampton,80,0,0,0,1,7,0,0,0,0,0,0,0.8,0.8,4.3,3.0,True,2021-12-11T15:00:00Z,3
Granit Xhaka,MID,Arsenal,West Ham,90,0,0,0,1,14,0,0,0,0,0,0,6.8,14.6,8.7,45.0,True,2021-12-15T20:00:00Z,3
Granit Xhaka,MID,Arsenal,Leeds,90,0,1,1,0,25,1,0,0,0,0,0,9.0,40.0,30.1,20.0,False,2021-12-18T17:30:00Z,4
Granit Xhaka,MID,Arsenal,Sheffield Utd,90,0,0,0,1,12,1,0,0,0,0,0,5.0,11.0,38.9,0.0,False,2021-12-26T15:00:00Z,2
Granit Xhaka,MID,Arsenal,Man City,90,0,0,2,0,2,1,0,0,0,0,0,0.8,5.6,2.4,0.0,True,2022-01-01T12:30:00Z,1
Granit Xhaka,MID,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-23T14:00:00Z,0
Granit Xhaka,MID,Arsenal,Wolves,90,0,0,0,1,9,1,0,0,0,0,0,1.9,15.2,1.8,2.0,False,2022-02-10T19:45:00Z,2
Granit Xhaka,MID,Arsenal,Brighton,90,0,0,1,0,14,0,0,0,0,0,0,7.7,21.2,45.3,10.0,True,2022-02-19T15:00:00Z,2
Granit Xhaka,MID,Arsenal,Wolves,90,0,0,1,0,11,0,0,0,0,0,0,6.7,12.8,24.3,30.0,True,2022-02-24T19:45:00Z,2
Granit Xhaka,MID,Arsenal,West Brom,90,0,0,2,0,12,0,0,0,0,0,0,3.1,7.6,12.9,10.0,False,2022-03-06T14:00:00Z,2
Granit Xhaka,MID,Arsenal,Leicester,90,0,0,0,1,17,0,0,0,0,0,0,8.0,11.4,38.0,31.0,True,2022-03-13T16:30:00Z,3
Granit Xhaka,MID,Arsenal,Liverpool,90,0,0,2,0,14,0,0,0,0,0,0,3.8,9.4,25.6,3.0,True,2022-03-16T20:15:00Z,2
Granit Xhaka,MID,Arsenal,Aston Villa,90,0,0,0,1,11,1,0,0,0,0,0,2.8,10.0,15.7,2.0,False,2022-03-19T12:30:00Z,2
Granit Xhaka,MID,Arsenal,Everton,90,0,0,3,0,9,1,0,0,0,0,0,2.9,11.6,9.6,8.0,False,2022-04-04T19:00:00Z,1
Granit Xhaka,MID,Arsenal,Burnley,90,0,1,2,0,23,0,0,0,0,0,0,4.9,23.8,16.8,8.0,True,2022-04-09T14:00:00Z,7
Granit Xhaka,MID,Arsenal,Southampton,90,0,0,1,0,13,0,0,0,0,0,0,6.4,19.6,22.9,21.0,False,2022-04-16T14:00:00Z,2
Granit Xhaka,MID,Arsenal,Crystal Palace,90,0,0,2,0,14,0,0,0,0,0,0,3.9,10.6,8.6,20.0,False,2022-04-20T18:45:00Z,2
Granit Xhaka,MID,Arsenal,Man Utd,90,1,0,1,0,30,1,0,0,0,0,0,7.8,47.2,23.5,7.0,True,2022-04-23T11:30:00Z,7
Granit Xhaka,MID,Arsenal,West Ham,90,0,0,1,0,14,0,0,0,0,0,0,6.4,20.2,43.8,0.0,False,2022-05-01T15:30:00Z,2
Granit Xhaka,MID,Arsenal,Leeds,90,0,0,1,0,14,0,0,0,0,0,0,7.9,20.4,43.6,15.0,True,2022-05-08T13:00:00Z,2
Granit Xhaka,MID,Arsenal,Spurs,90,0,0,3,0,7,1,0,0,0,0,0,1.3,7.6,4.4,1.0,False,2022-05-12T18:45:00Z,1
Granit Xhaka,MID,Arsenal,Newcastle,90,0,0,2,0,8,1,0,0,0,0,0,2.7,8.4,12.2,6.0,False,2022-05-16T19:00:00Z,1
Granit Xhaka,MID,Arsenal,Fulham,62,0,0,1,0,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,2
