name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Mathias Jensen,MID,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-13T19:00:00Z,0
Mathias Jensen,MID,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-21T14:00:00Z,0
Mathias Jensen,MID,Brentford,Aston Villa,10,0,0,0,0,5,0,0,0,0,0,0,2.9,4.2,24.3,0.0,False,2021-08-28T14:00:00Z,1
Mathias Jensen,MID,Brentford,Burnley,22,0,0,1,0,4,0,0,0,0,0,0,0.8,6.8,1.3,0.0,True,2021-09-11T14:00:00Z,1
Mathias Jensen,MID,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-18T11:30:00Z,0
Mathias Jensen,MID,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-25T16:30:00Z,0
Mathias Jensen,MID,Brentford,West Ham,61,0,0,1,0,14,0,0,0,0,0,0,4.9,12.2,18.4,18.0,False,2021-10-03T13:00:00Z,2
Mathias Jensen,MID,Brentford,Crystal Palace,90,0,0,1,0,10,0,0,0,0,0,0,3.4,10.8,17.2,6.0,True,2021-10-16T16:30:00Z,2
Mathias Jensen,MID,Brentford,Leicester,90,0,1,2,0,24,0,0,0,0,0,0,8.3,30.2,53.2,0.0,True,2021-10-24T13:00:00Z,7
Mathias Jensen,MID,Brentford,Chelsea,67,0,0,3,0,15,0,0,0,0,0,0,3.7,9.0,25.7,2.0,False,2021-10-30T14:00:00Z,2
Mathias Jensen,MID,Brentford,Sheffield Utd,90,0,0,2,0,23,0,0,0,0,0,0,14.1,25.0,104.0,12.0,True,2021-11-06T15:00:00Z,2
Mathias Jensen,MID,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-20T15:00:00Z,0
Mathias Jensen,MID,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-28T14:00:00Z,0
Mathias Jensen,MID,Brentford,Spurs,20,0,0,0,0,3,0,0,0,0,0,0,0.3,1.8,1.2,0.0,False,2021-12-02T19:30:00Z,1
Mathias Jensen,MID,Brentford,Leeds,1,0,0,1,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,False,2021-12-05T14:00:00Z,1
Mathias Jensen,MID,Brentford,West Brom,68,0,0,1,0,11,0,0,0,0,0,0,0.8,5.4,2.4,0.0,True,2021-12-10T20:00:00Z,2
Mathias Jensen,MID,Brentford,Burnley,45,0,0,2,0,4,0,0,0,0,0,0,1.4,3.8,10.4,0.0,False,2021-12-26T20:00:00Z,1
Mathias Jensen,MID,Brentford,Man City,90,0,0,1,0,4,0,0,0,0,0,0,1.3,6.2,4.5,2.0,True,2021-12-29T20:15:00Z,2
Mathias Jensen,MID,Brentford,Aston Villa,60,0,0,1,0,8,0,0,0,0,0,0,3.9,5.4,29.3,4.0,True,2022-01-02T14:00:00Z,2
Mathias Jensen,MID,Brentford,Southampton,22,0,0,1,0,8,0,0,0,0,0,0,2.0,5.8,14.4,0.0,False,2022-01-11T19:45:00Z,1
Mathias Jensen,MID,Brentford,Liverpool,15,0,0,1,0,4,0,0,0,0,0,0,1.2,2.2,10.2,0.0,False,2022-01-16T14:00:00Z,1
Mathias Jensen,MID,Brentford,Man Utd,66,0,0,2,0,8,0,0,0,0,0,0,10.8,21.2,38.9,48.0,True,2022-01-19T20:00:00Z,2
Mathias Jensen,MID,Brentford,Wolves,26,0,0,0,0,6,0,0,0,0,0,0,2.3,6.0,14.9,2.0,True,2022-01-22T15:00:00Z,1
Mathias Jensen,MID,Brentford,Man City,90,0,0,2,0,4,0,0,0,0,0,0,2.3,8.6,6.8,8.0,False,2022-02-09T19:45:00Z,2
Mathias Jensen,MID,Brentford,Everton,90,0,0,0,1,14,0,0,0,0,0,0,5.7,25.2,30.1,2.0,True,2022-02-12T15:00:00Z,3
Mathias Jensen,MID,Brentford,Arsenal,43,0,0,0,0,5,0,0,0,0,0,0,0.7,3.0,4.0,0.0,False,2022-02-19T15:00:00Z,1
Mathias Jensen,MID,Brentford,Newcastle,51,0,0,2,0,4,0,0,0,0,0,0,0.8,0.0,8.3,0.0,True,2022-02-26T15:00:00Z,1
Mathias Jensen,MID,Brentford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-05T15:00:00Z,0
Mathias Jensen,MID,Brentford,Chelsea,9,0,0,0,0,4,0,0,0,0,0,0,0.1,0.8,0.0,0.0,True,2022-03-12T15:00:00Z,1
Mathias Jensen,MID,Brentford,Leicester,90,0,0,2,0,16,0,0,0,0,0,0,5.2,12.2,21.3,18.0,False,2022-03-20T14:00:00Z,2
Mathias Jensen,MID,Brentford,Crystal Palace,8,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,2022-04-02T14:00:00Z,1
Mathias Jensen,MID,Brentford,West Ham,21,0,0,0,0,4,0,0,0,0,0,0,0.3,1.8,1.0,0.0,True,2022-04-10T13:00:00Z,1
Mathias Jensen,MID,Brentford,West Brom,16,0,0,0,0,5,0,0,0,0,0,0,0.3,2.0,0.6,0.0,False,2022-04-16T14:00:00Z,1
Mathias Jensen,MID,Brentford,Spurs,77,0,0,0,1,8,0,0,0,0,0,0,3.7,10.6,22.6,4.0,True,2022-04-23T16:30:00Z,3
Mathias Jensen,MID,Brentford,Man Utd,19,0,0,1,0,3,0,0,0,0,0,0,1.3,1.0,3.8,8.0,False,2022-05-02T19:00:00Z,1
Mathias Jensen,MID,Brentford,Southampton,86,0,0,0,1,2,0,0,0,0,0,0,2.3,3.8,2.8,16.0,True,2022-05-07T14:00:00Z,3
Mathias Jensen,MID,Brentford,Fulham,90,0,0,2,0,12,0,0,0,0,0,0,8.4,17.6,35.8,31.0,False,2022-05-15T15:30:00Z,2
Mathias Jensen,MID,Brentford,Leeds,57,0,0,1,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,1
