name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Maxwel Cornet,MID,Burnley,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-13T19:00:00Z,0
Maxwel Cornet,MID,Burnley,Arsenal,33,0,0,0,0,6,0,0,0,0,0,0,4.5,10.8,15.3,19.0,True,2021-09-18T14:00:00Z,1
Maxwel Cornet,MID,Burnley,Leicester,45,1,0,1,0,17,1,0,0,0,0,0,5.6,32.0,0.9,23.0,False,2021-09-25T14:00:00Z,5
Maxwel Cornet,MID,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,0
Maxwel Cornet,MID,Burnley,Man City,55,0,0,1,0,-2,0,0,0,0,0,0,3.2,7.4,1.1,23.0,False,2021-10-16T14:00:00Z,1
Maxwel Cornet,MID,Burnley,Southampton,77,2,0,2,0,42,0,0,0,0,0,0,11.1,69.8,15.0,26.0,False,2021-10-23T14:00:00Z,15
Maxwel Cornet,MID,Burnley,Brighton,67,1,0,0,1,29,0,0,0,0,0,0,6.1,37.8,16.0,7.0,True,2021-10-30T14:00:00Z,10
Maxwel Cornet,MID,Burnley,Crystal Palace,87,0,0,1,0,3,1,0,0,0,0,0,4.1,6.4,11.7,23.0,False,2021-11-06T15:00:00Z,1
Maxwel Cornet,MID,Burnley,Everton,83,1,0,3,0,26,0,0,0,0,0,0,7.9,44.2,16.2,19.0,True,2021-11-20T15:00:00Z,7
Maxwel Cornet,MID,Burnley,Wolves,84,0,0,0,1,2,0,0,0,0,0,0,1.3,0.0,10.2,4.0,False,2021-12-01T19:30:00Z,3
Maxwel Cornet,MID,Burnley,Newcastle,31,0,0,0,0,2,0,0,0,0,0,0,3.0,0.0,4.3,26.0,False,2021-12-04T15:00:00Z,1
Maxwel Cornet,MID,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-12T14:00:00Z,0
Maxwel Cornet,MID,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-30T20:15:00Z,0
Maxwel Cornet,MID,Burnley,Leeds,45,1,0,2,0,17,0,0,0,0,0,0,5.7,31.0,1.5,24.0,False,2022-01-02T14:00:00Z,6
Maxwel Cornet,MID,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-23T14:00:00Z,0
Maxwel Cornet,MID,Burnley,West Brom,90,0,0,0,1,0,0,0,0,0,0,0,5.9,5.2,14.1,40.0,True,2022-02-05T18:00:00Z,3
Maxwel Cornet,MID,Burnley,Man Utd,68,0,0,1,0,3,0,0,0,0,0,0,0.9,2.6,2.3,4.0,True,2022-02-08T20:00:00Z,2
Maxwel Cornet,MID,Burnley,Liverpool,90,0,0,1,0,5,0,0,0,0,0,0,5.0,13.4,17.2,19.0,True,2022-02-13T14:00:00Z,2
Maxwel Cornet,MID,Burnley,Burnley,54,0,0,0,0,0,0,0,0,0,0,0,3.2,4.4,1.6,26.0,False,2022-02-19T15:00:00Z,1
Maxwel Cornet,MID,Burnley,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-23T19:30:00Z,0
Maxwel Cornet,MID,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-26T15:00:00Z,0
Maxwel Cornet,MID,Burnley,Leicester,70,0,0,0,1,3,0,0,0,0,0,0,2.9,1.0,1.8,26.0,True,2022-03-01T19:45:00Z,3
Maxwel Cornet,MID,Burnley,Crystal Palace,27,0,0,1,0,1,0,0,0,0,0,0,1.5,0.2,0.8,14.0,True,2022-03-05T15:00:00Z,1
Maxwel Cornet,MID,Burnley,Brighton,90,0,0,2,0,-2,0,0,0,0,0,0,2.9,0.6,2.9,25.0,False,2022-03-12T15:00:00Z,2
Maxwel Cornet,MID,Burnley,Man City,45,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,0.5,0.0,True,2022-04-02T14:00:00Z,1
Maxwel Cornet,MID,Burnley,Fulham,90,1,1,2,0,42,0,0,0,0,0,0,14.8,73.2,31.1,44.0,True,2022-04-06T18:30:00Z,12
