name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Miguel Almirón,MID,Newcastle,West Ham,90,0,0,4,0,12,0,0,0,0,0,0,4.2,10.0,13.8,18.0,True,2021-08-15T13:00:00Z,2
Miguel Almirón,MID,Newcastle,Aston Villa,90,0,0,2,0,7,0,0,0,0,0,0,2.9,11.2,15.8,2.0,False,2021-08-21T14:00:00Z,2
Miguel Almirón,MID,Newcastle,Southampton,90,0,0,2,0,4,0,0,0,0,0,0,2.0,15.0,5.1,0.0,True,2021-08-28T14:00:00Z,2
Miguel Almirón,MID,Newcastle,Man Utd,90,0,0,4,0,12,0,0,0,0,0,0,3.6,13.6,12.4,10.0,False,2021-09-11T14:00:00Z,2
Miguel Almirón,MID,Newcastle,Leeds,61,0,0,1,0,9,1,0,0,0,0,0,5.8,5.0,41.3,12.0,True,2021-09-17T19:00:00Z,1
Miguel Almirón,MID,Newcastle,West Brom,78,0,0,1,0,15,0,0,0,0,0,0,3.7,11.6,13.4,12.0,False,2021-09-25T14:00:00Z,2
Miguel Almirón,MID,Newcastle,Wolves,76,0,0,2,0,8,0,0,0,0,0,0,0.6,3.2,2.4,0.0,False,2021-10-02T14:00:00Z,2
Miguel Almirón,MID,Newcastle,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-17T15:30:00Z,0
Miguel Almirón,MID,Newcastle,Everton,24,0,0,0,0,8,0,0,0,0,0,0,3.0,11.4,14.6,4.0,False,2021-10-23T14:00:00Z,1
Miguel Almirón,MID,Newcastle,Crystal Palace,23,0,0,2,0,3,0,0,0,0,0,0,0.9,0.4,0.5,8.0,True,2021-10-30T14:00:00Z,1
Miguel Almirón,MID,Newcastle,Burnley,73,0,0,1,0,3,0,0,0,0,0,0,1.5,3.8,11.6,0.0,False,2021-11-06T17:30:00Z,2
