name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Pedro Lomba Neto,MID,Wolves,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-14T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-22T13:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-29T15:30:00Z,0
Pedro Lomba Neto,MID,Wolves,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-11T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-18T11:30:00Z,0
Pedro Lomba Neto,MID,Wolves,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-26T13:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-23T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-01T20:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-06T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-27T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-01T19:30:00Z,0
Pedro Lomba Neto,MID,Wolves,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-04T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-11T12:30:00Z,0
Pedro Lomba Neto,MID,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-15T19:30:00Z,0
Pedro Lomba Neto,MID,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-19T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-03T17:30:00Z,0
Pedro Lomba Neto,MID,Wolves,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-15T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-22T15:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-10T19:45:00Z,0
Pedro Lomba Neto,MID,Wolves,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-13T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Leicester,9,0,0,0,0,4,0,0,0,0,0,0,0.2,1.2,0.2,1.0,True,2022-02-20T16:30:00Z,1
Pedro Lomba Neto,MID,Wolves,Arsenal,15,0,0,2,0,0,0,0,0,0,0,0,0.3,0.0,0.8,4.0,False,2022-02-24T19:45:00Z,1
Pedro Lomba Neto,MID,Wolves,West Ham,14,0,0,0,0,4,0,0,0,0,0,0,3.5,2.8,12.0,20.0,False,2022-02-27T14:00:00Z,1
Pedro Lomba Neto,MID,Wolves,Everton,62,0,0,2,0,10,0,0,0,0,0,0,5.1,9.4,37.8,4.0,True,2022-03-05T15:00:00Z,2
Pedro Lomba Neto,MID,Wolves,West Brom,29,0,0,0,0,6,0,0,0,0,0,0,5.0,7.6,22.0,20.0,True,2022-03-10T19:30:00Z,1
Pedro Lomba Neto,MID,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-13T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-03-18T20:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Aston Villa,15,0,0,1,0,-2,1,0,0,0,0,0,0.2,0.0,0.5,2.0,True,2022-04-02T14:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Newcastle,12,0,0,0,0,4,0,0,0,0,0,0,0.9,1.8,6.7,0.0,False,2022-04-08T19:00:00Z,1
Pedro Lomba Neto,MID,Wolves,Chelsea,23,0,0,0,0,1,1,0,0,0,0,0,2.5,1.4,1.8,22.0,False,2022-04-24T13:00:00Z,0
Pedro Lomba Neto,MID,Wolves,Burnley,45,0,0,2,0,5,0,0,0,0,0,0,5.8,5.6,16.5,36.0,True,2022-04-30T14:00:00Z,1
Pedro Lomba Neto,MID,Wolves,Crystal Palace,69,0,0,2,0,9,1,0,0,0,0,0,6.0,8.6,32.0,19.0,False,2022-05-07T14:00:00Z,1
Pedro Lomba Neto,MID,Wolves,Man City,71,0,1,4,0,19,0,0,0,0,0,0,8.4,25.8,44.0,14.0,True,2022-05-11T19:15:00Z,5
Pedro Lomba Neto,MID,Wolves,Sheffield Utd,74,0,0,1,0,5,0,0,0,0,0,0,8.2,4.2,19.6,58.0,True,2022-05-15T13:00:00Z,2
Pedro Lomba Neto,MID,Wolves,Liverpool,21,1,0,0,0,23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,6
