name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Riyad Mahrez,MID,Man City,Spurs,78,0,0,1,0,9,0,0,0,0,0,0,4.7,6.4,22.1,18.0,False,2021-08-15T15:30:00Z,2
Riyad Mahrez,MID,Man City,Sheffield Utd,15,1,0,0,0,20,0,0,0,0,0,0,7.6,37.4,11.5,27.0,True,2021-08-21T14:00:00Z,6
Riyad Mahrez,MID,Man City,Arsenal,29,0,1,0,0,29,0,0,0,0,0,0,10.7,29.2,48.5,29.0,True,2021-08-28T11:30:00Z,4
Riyad Mahrez,MID,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-11T14:00:00Z,0
Riyad Mahrez,MID,Man City,Southampton,23,0,0,0,0,7,0,0,0,0,0,0,4.0,6.6,19.2,14.0,True,2021-09-18T14:00:00Z,1
Riyad Mahrez,MID,Man City,Crystal Palace,9,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T11:30:00Z,1
Riyad Mahrez,MID,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-03T15:30:00Z,0
Riyad Mahrez,MID,Man City,Chelsea,90,0,0,0,1,10,0,0,0,0,0,0,8.9,9.4,34.3,45.0,True,2021-10-16T14:00:00Z,3
Riyad Mahrez,MID,Man City,Burnley,3,1,0,0,0,20,0,0,0,0,0,0,5.5,33.2,2.5,19.0,False,2021-10-23T16:30:00Z,6
Riyad Mahrez,MID,Man City,Everton,12,0,0,1,0,0,0,0,0,0,0,0,0.4,0.0,1.4,4.0,True,2021-10-30T14:00:00Z,1
Riyad Mahrez,MID,Man City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-06T12:30:00Z,0
Riyad Mahrez,MID,Man City,Fulham,32,0,0,0,0,1,0,0,0,0,0,0,2.4,3.2,4.1,17.0,True,2021-11-21T14:00:00Z,1
Riyad Mahrez,MID,Man City,West Ham,90,0,1,1,0,19,0,0,0,0,0,0,8.4,10.6,44.8,29.0,True,2021-11-28T14:00:00Z,5
Riyad Mahrez,MID,Man City,Aston Villa,90,0,0,1,0,16,0,0,0,0,0,0,9.1,12.2,42.0,37.0,False,2021-12-01T20:15:00Z,2
Riyad Mahrez,MID,Man City,West Brom,22,0,0,1,0,3,0,0,0,0,0,0,1.8,2.8,12.7,2.0,False,2021-12-04T17:30:00Z,1
Riyad Mahrez,MID,Man City,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-11T12:30:00Z,0
Riyad Mahrez,MID,Man City,Leeds,90,1,1,0,1,50,0,0,0,0,0,0,20.7,72.6,62.0,72.0,True,2021-12-14T20:00:00Z,13
Riyad Mahrez,MID,Man City,Newcastle,76,1,1,0,1,42,0,0,0,0,0,0,12.9,59.6,42.7,27.0,False,2021-12-19T14:00:00Z,12
Riyad Mahrez,MID,Man City,Leicester,90,1,1,3,0,32,0,0,0,0,0,0,14.9,51.2,39.5,58.0,True,2021-12-26T15:00:00Z,10
