name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ross Barkley,MID,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T14:00:00Z,0
Ross Barkley,MID,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-22T15:30:00Z,0
Ross Barkley,MID,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-28T16:30:00Z,0
Ross Barkley,MID,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-11T16:30:00Z,0
Ross Barkley,MID,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-19T15:30:00Z,0
Ross Barkley,MID,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-25T11:30:00Z,0
Ross Barkley,MID,Chelsea,Southampton,7,0,0,0,0,3,0,0,0,0,0,0,0.4,0.6,1.3,2.0,True,2021-10-02T14:00:00Z,1
Ross Barkley,MID,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T16:30:00Z,0
Ross Barkley,MID,Chelsea,Sheffield Utd,20,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6,12.5,18.0,True,2021-10-23T11:30:00Z,1
Ross Barkley,MID,Chelsea,Newcastle,26,0,0,0,0,4,0,0,0,0,0,0,1.1,1.8,8.9,0.0,False,2021-10-30T14:00:00Z,1
Ross Barkley,MID,Chelsea,Chelsea,72,0,0,0,1,8,0,0,0,0,0,0,9.2,8.8,65.0,18.0,True,2021-11-06T15:00:00Z,3
Ross Barkley,MID,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-20T12:30:00Z,0
Ross Barkley,MID,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-28T16:30:00Z,0
Ross Barkley,MID,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-01T19:30:00Z,0
