name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Stuart Dallas,MID,Leeds,Man Utd,90,0,1,5,0,25,0,0,0,0,0,0,4.3,29.6,13.1,0.0,False,2021-08-14T11:30:00Z,5
Stuart Dallas,MID,Leeds,Fulham,90,0,0,2,0,23,0,0,0,0,0,0,5.2,22.6,27.8,2.0,True,2021-08-21T14:00:00Z,2
Stuart Dallas,MID,Leeds,Chelsea,90,0,0,1,0,11,0,0,0,0,0,0,2.0,7.4,2.1,10.0,False,2021-08-29T13:00:00Z,2
Stuart Dallas,MID,Leeds,Liverpool,90,0,0,3,0,12,0,0,0,0,0,0,1.4,6.0,4.3,4.0,True,2021-09-12T15:30:00Z,2
Stuart Dallas,MID,Leeds,Newcastle,90,0,0,1,0,11,0,0,0,0,0,0,2.6,10.2,15.4,0.0,False,2021-09-17T19:00:00Z,2
Stuart Dallas,MID,Leeds,West Ham,90,0,0,2,0,8,0,0,0,0,0,0,5.4,8.0,19.6,26.0,True,2021-09-25T14:00:00Z,2
Stuart Dallas,MID,Leeds,West Brom,77,0,0,0,1,14,0,0,0,0,0,0,8.3,9.4,24.3,49.0,True,2021-10-02T14:00:00Z,3
Stuart Dallas,MID,Leeds,Southampton,90,0,0,1,0,15,0,0,0,0,0,0,2.2,19.6,1.9,0.0,False,2021-10-16T14:00:00Z,2
Stuart Dallas,MID,Leeds,Wolves,90,0,0,1,0,22,0,0,0,0,0,0,6.4,24.2,31.4,8.0,True,2021-10-23T14:00:00Z,3
Stuart Dallas,MID,Leeds,Sheffield Utd,90,0,0,1,0,11,0,0,0,0,0,0,4.9,18.4,14.7,16.0,False,2021-10-31T14:00:00Z,2
Stuart Dallas,MID,Leeds,Leicester,90,0,0,1,0,15,0,0,0,0,0,0,5.1,20.6,30.1,0.0,True,2021-11-07T14:00:00Z,2
Stuart Dallas,MID,Leeds,Spurs,90,0,0,2,0,28,0,0,0,0,0,0,9.7,27.0,62.7,7.0,False,2021-11-21T16:30:00Z,4
Stuart Dallas,MID,Leeds,Burnley,90,0,0,0,1,17,0,0,0,0,0,0,4.3,24.2,11.3,7.0,False,2021-11-27T17:30:00Z,3
Stuart Dallas,MID,Leeds,Everton,90,0,0,0,1,9,1,0,0,0,0,0,6.3,26.2,19.1,18.0,True,2021-11-30T20:15:00Z,2
Stuart Dallas,MID,Leeds,Brighton,90,0,0,2,0,17,0,0,0,0,0,0,3.6,21.6,7.7,7.0,True,2021-12-05T14:00:00Z,2
Stuart Dallas,MID,Leeds,Crystal Palace,90,0,0,3,0,8,0,0,0,0,0,0,2.3,22.2,0.6,0.0,False,2021-12-11T15:00:00Z,2
Stuart Dallas,MID,Leeds,Man City,90,0,0,7,0,9,0,0,0,0,0,0,0.9,4.8,1.0,3.0,False,2021-12-14T20:00:00Z,2
Stuart Dallas,MID,Leeds,Arsenal,90,0,0,4,0,12,1,0,0,0,0,0,3.5,15.4,15.3,4.0,True,2021-12-18T17:30:00Z,1
Stuart Dallas,MID,Leeds,Chelsea,90,1,0,1,0,32,0,0,0,0,0,0,11.6,58.6,15.2,42.0,True,2022-01-02T14:00:00Z,10
Stuart Dallas,MID,Leeds,West Ham,90,0,0,2,0,23,0,0,0,0,0,0,5.0,27.4,15.5,7.0,False,2022-01-16T14:00:00Z,2
Stuart Dallas,MID,Leeds,Newcastle,90,0,0,1,0,10,1,0,0,0,0,0,3.3,22.4,10.7,0.0,True,2022-01-22T15:00:00Z,1
Stuart Dallas,MID,Leeds,Aston Villa,90,0,0,3,0,14,1,0,0,0,0,0,4.4,13.2,21.3,9.0,False,2022-02-09T20:00:00Z,1
Stuart Dallas,MID,Leeds,Fulham,8,0,0,0,0,3,0,0,0,0,0,0,0.4,3.6,0.0,0.0,False,2022-02-12T15:00:00Z,1
Stuart Dallas,MID,Leeds,Man Utd,90,0,0,4,0,16,0,0,0,0,0,0,2.8,25.8,1.7,0.0,True,2022-02-20T14:00:00Z,2
Stuart Dallas,MID,Leeds,Liverpool,90,0,0,6,0,0,0,0,0,0,0,0,0.7,2.8,0.3,4.0,False,2022-02-23T19:45:00Z,2
Stuart Dallas,MID,Leeds,Spurs,90,0,0,4,0,13,1,0,0,0,0,0,6.7,10.6,25.6,31.0,True,2022-02-26T12:30:00Z,1
Stuart Dallas,MID,Leeds,Leicester,90,0,0,1,0,12,0,0,0,0,0,0,6.5,22.2,41.2,2.0,False,2022-03-05T12:30:00Z,2
Stuart Dallas,MID,Leeds,Aston Villa,90,0,0,3,0,19,0,0,0,0,0,0,2.4,21.4,2.4,0.0,True,2022-03-10T19:45:00Z,2
Stuart Dallas,MID,Leeds,Sheffield Utd,90,0,0,1,0,12,0,0,0,0,0,0,3.1,8.8,20.0,2.0,True,2022-03-13T14:00:00Z,2
Stuart Dallas,MID,Leeds,Wolves,90,0,0,2,0,14,0,0,0,0,0,0,2.9,22.8,6.3,0.0,False,2022-03-18T20:00:00Z,2
