name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Bruno Miguel Borges Fernandes,MID,Man Utd,Leeds,90,3,0,1,0,61,0,0,0,0,0,0,20.1,106.2,35.9,59.0,True,2021-08-14T11:30:00Z,20
Bruno Miguel Borges Fernandes,MID,Man Utd,Southampton,90,0,0,1,0,7,1,0,0,0,0,0,7.2,12.4,30.2,29.0,False,2021-08-22T13:00:00Z,1
Bruno Miguel Borges Fernandes,MID,Man Utd,Wolves,90,0,0,0,1,4,1,0,0,0,0,0,5.5,6.4,25.8,23.0,False,2021-08-29T15:30:00Z,2
Bruno Miguel Borges Fernandes,MID,Man Utd,Newcastle,84,1,0,1,0,33,0,0,0,0,0,0,10.0,36.8,33.8,29.0,True,2021-09-11T14:00:00Z,8
Bruno Miguel Borges Fernandes,MID,Man Utd,West Ham,90,0,0,1,0,17,0,0,0,0,0,0,10.5,18.0,48.8,38.0,False,2021-09-19T13:00:00Z,2
Bruno Miguel Borges Fernandes,MID,Man Utd,Aston Villa,90,0,0,1,0,13,0,0,0,0,1,0,20.7,27.6,136.2,43.0,True,2021-09-25T11:30:00Z,0
Bruno Miguel Borges Fernandes,MID,Man Utd,Fulham,90,0,1,1,0,19,0,0,0,0,0,0,6.7,22.4,36.2,8.0,True,2021-10-02T11:30:00Z,5
Bruno Miguel Borges Fernandes,MID,Man Utd,Leicester,90,0,1,4,0,24,0,0,0,0,0,0,15.4,39.0,104.0,11.0,False,2021-10-16T14:00:00Z,5
Bruno Miguel Borges Fernandes,MID,Man Utd,Liverpool,61,0,0,5,0,13,1,0,0,0,0,0,4.4,7.4,32.4,4.0,True,2021-10-24T15:30:00Z,1
Bruno Miguel Borges Fernandes,MID,Man Utd,Spurs,75,0,1,0,1,25,0,0,0,0,0,0,7.7,33.6,38.9,4.0,False,2021-10-30T16:30:00Z,6
Bruno Miguel Borges Fernandes,MID,Man Utd,Man City,90,0,0,2,0,8,0,0,0,0,0,0,2.4,13.8,2.1,8.0,True,2021-11-06T12:30:00Z,2
Bruno Miguel Borges Fernandes,MID,Man Utd,West Brom,90,0,0,4,0,13,0,0,0,0,0,0,3.2,9.8,16.8,5.0,False,2021-11-20T15:00:00Z,2
Bruno Miguel Borges Fernandes,MID,Man Utd,Crystal Palace,88,0,0,1,0,2,1,0,0,0,0,0,1.0,4.0,4.6,1.0,False,2021-11-28T16:30:00Z,1
Bruno Miguel Borges Fernandes,MID,Man Utd,Arsenal,89,1,0,2,0,35,0,0,0,0,0,0,13.4,48.4,48.7,37.0,True,2021-12-02T20:15:00Z,9
Bruno Miguel Borges Fernandes,MID,Man Utd,Everton,85,0,0,0,1,3,0,0,0,0,0,0,6.7,7.6,33.5,26.0,True,2021-12-05T14:00:00Z,3
Bruno Miguel Borges Fernandes,MID,Man Utd,Sheffield Utd,87,0,0,0,1,6,0,0,0,0,0,0,2.7,5.0,16.0,6.0,False,2021-12-11T17:30:00Z,3
Bruno Miguel Borges Fernandes,MID,Man Utd,Newcastle,90,0,0,1,0,10,1,0,0,0,0,0,4.2,11.6,28.5,2.0,False,2021-12-27T20:00:00Z,1
