name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Newcastle,90,2,0,1,0,57,0,0,0,0,0,0,17.8,67.2,20.6,90.0,True,2021-09-11T14:00:00Z,13
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,West Ham,90,1,0,1,0,22,0,0,0,0,0,0,18.7,45.0,7.1,135.0,False,2021-09-19T13:00:00Z,6
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Aston Villa,90,0,0,1,0,7,0,0,0,0,0,0,5.8,4.0,13.0,41.0,True,2021-09-25T11:30:00Z,2
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Fulham,33,0,0,1,0,2,0,0,0,0,0,0,2.2,1.4,12.6,8.0,True,2021-10-02T11:30:00Z,1
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Leicester,90,0,0,4,0,8,0,0,0,0,0,0,5.6,4.2,15.2,37.0,False,2021-10-16T14:00:00Z,2
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Liverpool,90,0,0,5,0,-4,1,0,0,0,0,0,5.9,2.0,12.0,45.0,True,2021-10-24T15:30:00Z,1
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Spurs,70,1,1,0,1,46,0,0,0,0,0,0,12.0,53.8,29.0,37.0,False,2021-10-30T16:30:00Z,12
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Man City,90,0,0,2,0,0,1,0,0,0,0,0,2.9,8.8,2.7,17.0,True,2021-11-06T12:30:00Z,1
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,West Brom,90,0,1,4,0,12,0,0,0,0,0,0,9.7,21.2,22.3,53.0,False,2021-11-20T15:00:00Z,5
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Crystal Palace,26,0,0,1,0,-2,1,0,0,0,0,0,0.3,0.4,0.9,2.0,False,2021-11-28T16:30:00Z,0
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Arsenal,87,2,0,2,0,53,0,0,0,0,0,0,14.9,71.0,2.9,75.0,True,2021-12-02T20:15:00Z,13
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Everton,90,0,0,0,1,9,0,0,0,0,0,0,11.2,9.6,20.8,82.0,True,2021-12-05T14:00:00Z,2
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Sheffield Utd,90,1,0,0,1,31,0,0,0,0,0,0,9.1,39.0,4.4,48.0,False,2021-12-11T17:30:00Z,9
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,Newcastle,90,0,0,1,0,1,1,0,0,0,0,0,4.2,0.0,5.2,37.0,False,2021-12-27T20:00:00Z,1
