name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Illan Meslier,GK,Leeds,Man Utd,90,0,0,5,0,17,0,0,0,3,0,0,2.2,21.6,0.0,0.0,False,2021-08-14T11:30:00Z,1
Illan Meslier,GK,Leeds,Fulham,90,0,0,2,0,20,0,0,0,6,0,0,4.4,44.2,0.0,0.0,True,2021-08-21T14:00:00Z,3
Illan Meslier,GK,Leeds,Chelsea,90,0,0,1,0,15,0,0,0,2,0,0,2.5,25.4,0.0,0.0,False,2021-08-29T13:00:00Z,2
Illan Meslier,GK,Leeds,Liverpool,90,0,0,3,0,24,0,0,0,5,0,0,4.2,42.4,0.0,0.0,True,2021-09-12T15:30:00Z,2
Illan Meslier,GK,Leeds,Newcastle,90,0,0,1,0,25,0,0,0,6,0,0,4.4,44.0,0.0,0.0,False,2021-09-17T19:00:00Z,4
Illan Meslier,GK,Leeds,West Ham,90,0,0,2,0,18,1,0,0,5,0,0,3.8,37.8,0.0,0.0,True,2021-09-25T14:00:00Z,1
Illan Meslier,GK,Leeds,West Brom,90,0,0,0,1,27,0,0,0,1,0,0,1.3,13.4,0.0,0.0,True,2021-10-02T14:00:00Z,6
Illan Meslier,GK,Leeds,Southampton,90,0,0,1,0,15,0,0,0,3,0,0,2.2,22.4,0.0,0.0,False,2021-10-16T14:00:00Z,3
Illan Meslier,GK,Leeds,Wolves,90,0,0,1,0,15,0,0,0,3,0,0,2.0,20.4,0.0,0.0,True,2021-10-23T14:00:00Z,3
Illan Meslier,GK,Leeds,Sheffield Utd,90,0,0,1,0,14,0,0,0,2,0,0,1.4,14.4,0.0,0.0,False,2021-10-31T14:00:00Z,2
Illan Meslier,GK,Leeds,Leicester,90,0,0,1,0,13,0,0,0,2,0,0,2.2,21.8,0.0,0.0,True,2021-11-07T14:00:00Z,2
Illan Meslier,GK,Leeds,Spurs,90,0,0,2,0,12,0,0,0,2,0,0,2.0,20.0,0.0,0.0,False,2021-11-21T16:30:00Z,1
