name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Jack Cork,MID,Burnley,Burnley,84,0,0,2,0,3,0,0,0,0,0,0,1.4,0.8,1.1,12.0,True,2021-08-14T14:00:00Z,2
Jack Cork,MID,Burnley,Liverpool,90,0,0,2,0,7,0,0,0,0,0,0,0.6,3.8,0.7,1.0,False,2021-08-21T11:30:00Z,2
Jack Cork,MID,Burnley,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-29T13:00:00Z,0
Jack Cork,MID,Burnley,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-13T19:00:00Z,0
Jack Cork,MID,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-18T14:00:00Z,0
Jack Cork,MID,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T14:00:00Z,0
Jack Cork,MID,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,0
Jack Cork,MID,Burnley,Man City,71,0,0,2,0,5,0,0,0,0,0,0,0.7,3.6,1.4,2.0,False,2021-10-16T14:00:00Z,2
Jack Cork,MID,Burnley,Southampton,69,0,0,2,0,1,1,0,0,0,0,0,0.4,0.0,2.3,2.0,False,2021-10-23T14:00:00Z,1
Jack Cork,MID,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T14:00:00Z,0
Jack Cork,MID,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-06T15:00:00Z,0
Jack Cork,MID,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T15:00:00Z,0
Jack Cork,MID,Burnley,Wolves,90,0,0,0,1,10,0,0,0,0,0,0,1.3,10.6,1.9,0.0,False,2021-12-01T19:30:00Z,3
Jack Cork,MID,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-04T15:00:00Z,0
