name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
James Milner,MID,Liverpool,Sheffield Utd,90,0,0,0,1,10,1,0,0,0,0,0,4.0,21.0,18.8,0.0,False,2021-08-14T16:30:00Z,2
James Milner,MID,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-21T11:30:00Z,0
James Milner,MID,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-28T16:30:00Z,0
James Milner,MID,Liverpool,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-12T15:30:00Z,0
James Milner,MID,Liverpool,Everton,90,0,0,0,1,15,0,0,0,0,0,0,7.7,25.6,27.8,24.0,True,2021-09-18T14:00:00Z,3
James Milner,MID,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T16:30:00Z,0
James Milner,MID,Liverpool,Man City,77,0,0,1,0,8,1,0,0,0,0,0,3.2,8.6,19.6,4.0,True,2021-10-03T15:30:00Z,1
James Milner,MID,Liverpool,West Brom,82,0,1,0,1,35,0,0,0,0,0,0,9.1,36.2,48.5,6.0,False,2021-10-16T11:30:00Z,7
James Milner,MID,Liverpool,Man Utd,26,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,2021-10-24T15:30:00Z,1
James Milner,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T14:00:00Z,0
James Milner,MID,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-07T16:30:00Z,0
James Milner,MID,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T17:30:00Z,0
James Milner,MID,Liverpool,Southampton,23,0,0,0,0,3,0,0,0,0,0,0,0.5,1.4,2.2,1.0,True,2021-11-27T15:00:00Z,1
James Milner,MID,Liverpool,Fulham,15,0,0,0,0,5,0,0,0,0,0,0,0.5,4.4,0.8,0.0,False,2021-12-01T20:15:00Z,1
James Milner,MID,Liverpool,Wolves,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-04T15:00:00Z,1
James Milner,MID,Liverpool,Aston Villa,6,0,0,0,0,3,0,0,0,0,0,0,0.2,1.0,0.6,0.0,True,2021-12-11T15:00:00Z,1
