name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
John McGinn,MID,Aston Villa,West Brom,90,1,0,3,0,28,0,0,0,0,0,0,5.6,40.4,2.1,13.0,False,2021-08-14T14:00:00Z,7
John McGinn,MID,Aston Villa,Newcastle,90,0,0,0,1,14,0,0,0,0,0,0,5.6,10.2,40.6,5.0,True,2021-08-21T14:00:00Z,3
John McGinn,MID,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-28T14:00:00Z,0
John McGinn,MID,Aston Villa,Crystal Palace,90,0,0,3,0,16,1,0,0,0,0,0,8.1,19.2,58.3,3.0,False,2021-09-11T16:30:00Z,1
John McGinn,MID,Aston Villa,Fulham,39,0,0,0,0,0,0,0,0,0,0,0,1.6,4.2,1.1,11.0,True,2021-09-18T16:30:00Z,1
John McGinn,MID,Aston Villa,Man Utd,90,0,0,0,1,-1,1,0,0,0,0,0,0.8,3.6,4.4,0.0,False,2021-09-25T11:30:00Z,2
John McGinn,MID,Aston Villa,Spurs,90,0,0,2,0,4,0,0,0,0,0,0,3.9,8.8,11.9,18.0,False,2021-10-03T13:00:00Z,2
John McGinn,MID,Aston Villa,Wolves,90,1,1,3,0,49,0,0,0,0,0,0,12.9,70.8,50.6,8.0,True,2021-10-16T14:00:00Z,13
John McGinn,MID,Aston Villa,Arsenal,90,0,0,3,0,7,1,0,0,0,0,0,2.4,4.2,11.3,8.0,False,2021-10-22T19:00:00Z,1
John McGinn,MID,Aston Villa,West Ham,90,0,0,4,0,4,1,0,0,0,0,0,3.1,6.8,15.3,9.0,True,2021-10-31T16:30:00Z,1
John McGinn,MID,Aston Villa,Southampton,90,0,0,1,0,8,0,0,0,0,0,0,3.9,13.6,16.4,9.0,False,2021-11-05T20:00:00Z,2
