name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Juan Camilo Hernández Suárez,FWD,Watford,Aston Villa,24,1,0,2,0,29,0,0,0,0,0,0,6.3,36.2,0.3,26.0,True,2021-08-14T14:00:00Z,6
Juan Camilo Hernández Suárez,FWD,Watford,Burnley,45,0,0,0,0,2,0,0,0,0,0,0,0.6,2.2,1.2,3.0,False,2021-08-21T16:30:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Spurs,25,0,0,0,0,3,0,0,0,0,0,0,0.7,1.0,1.6,4.0,False,2021-08-29T13:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Wolves,37,0,0,2,0,4,0,0,0,0,0,0,1.0,3.6,0.7,6.0,True,2021-09-11T14:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-18T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-25T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Liverpool,90,0,0,5,0,6,0,0,0,0,0,0,4.2,3.0,10.8,28.0,True,2021-10-16T11:30:00Z,2
Juan Camilo Hernández Suárez,FWD,Watford,Fulham,90,0,1,2,0,22,0,0,0,0,0,0,12.2,27.2,61.5,33.0,False,2021-10-23T14:00:00Z,5
Juan Camilo Hernández Suárez,FWD,Watford,Southampton,45,0,0,1,0,0,0,0,0,0,0,0,1.3,4.4,2.0,7.0,True,2021-10-30T14:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Arsenal,16,0,0,0,0,6,0,0,0,0,0,0,2.5,6.4,18.6,0.0,False,2021-11-07T14:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Man Utd,22,0,0,0,0,8,0,0,0,0,0,0,5.6,10.4,43.6,2.0,True,2021-11-20T15:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Leicester,90,0,0,4,0,11,0,0,0,0,0,0,6.4,6.4,15.3,42.0,False,2021-11-28T14:00:00Z,2
Juan Camilo Hernández Suárez,FWD,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-01T19:30:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Man City,45,1,0,1,0,34,0,0,0,0,0,0,14.1,46.6,57.5,37.0,True,2021-12-04T17:30:00Z,6
Juan Camilo Hernández Suárez,FWD,Watford,Brighton,76,0,0,0,1,1,0,0,0,0,0,0,1.3,0.8,11.6,1.0,False,2021-12-10T20:00:00Z,2
Juan Camilo Hernández Suárez,FWD,Watford,West Ham,45,0,0,2,0,5,0,0,0,0,0,0,0.3,0.0,2.3,1.0,True,2021-12-28T15:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Spurs,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-01T15:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Newcastle,6,0,0,0,0,3,0,0,0,0,0,0,0.1,0.6,0.5,0.0,False,2022-01-15T15:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Sheffield Utd,31,0,0,2,0,-2,0,0,0,0,0,0,5.8,1.8,2.2,54.0,True,2022-01-21T20:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Chelsea,7,0,0,0,0,4,0,0,0,0,0,0,2.2,2.0,10.0,10.0,False,2022-02-05T18:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-08T19:45:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-12T15:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Aston Villa,1,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,2022-02-19T15:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Everton,39,0,0,2,0,2,0,0,0,0,0,0,0.2,0.0,1.3,1.0,True,2022-02-23T19:30:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-26T15:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Arsenal,90,1,1,3,0,43,1,0,0,0,0,0,13.2,65.4,22.8,44.0,True,2022-03-06T14:00:00Z,11
Juan Camilo Hernández Suárez,FWD,Watford,Wolves,90,0,0,4,0,-1,0,0,1,0,0,0,2.5,0.0,6.7,23.0,False,2022-03-10T19:30:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Southampton,90,2,0,1,0,57,1,0,0,0,0,0,12.0,68.8,13.9,37.0,False,2022-03-13T14:00:00Z,12
Juan Camilo Hernández Suárez,FWD,Watford,Liverpool,77,0,0,1,0,1,1,0,0,0,0,0,5.0,10.4,4.7,35.0,False,2022-04-02T11:30:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Leeds,38,0,0,1,0,1,0,0,0,0,0,0,0.8,4.4,0.3,3.0,True,2022-04-09T14:00:00Z,1
Juan Camilo Hernández Suárez,FWD,Watford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-16T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-23T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-30T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-07T14:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-11T18:45:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-15T13:00:00Z,0
Juan Camilo Hernández Suárez,FWD,Watford,Crystal Palace,18,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,1
