name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Martin Ødegaard,MID,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-22T15:30:00Z,0
Martin Ødegaard,MID,Arsenal,Man City,70,0,0,4,0,5,0,0,0,0,0,0,0.1,0.4,0.9,0.0,False,2021-08-28T11:30:00Z,2
Martin Ødegaard,MID,Arsenal,Sheffield Utd,90,0,0,0,1,14,0,0,0,0,0,0,3.9,9.0,26.3,4.0,True,2021-09-11T14:00:00Z,3
Martin Ødegaard,MID,Arsenal,Chelsea,90,1,0,0,1,36,0,0,0,0,0,0,9.6,52.6,28.0,15.0,False,2021-09-18T14:00:00Z,11
Martin Ødegaard,MID,Arsenal,Spurs,90,0,0,1,0,8,1,0,0,0,0,0,6.2,9.4,48.5,4.0,True,2021-09-26T15:30:00Z,1
Martin Ødegaard,MID,Arsenal,Burnley,62,0,0,0,1,5,0,0,0,0,0,0,0.7,2.4,2.3,2.0,False,2021-10-02T16:30:00Z,3
Martin Ødegaard,MID,Arsenal,Everton,66,0,0,1,0,9,0,0,0,0,0,0,1.2,2.8,9.5,0.0,True,2021-10-18T19:00:00Z,2
Martin Ødegaard,MID,Arsenal,Aston Villa,22,0,0,1,0,4,0,0,0,0,0,0,1.3,4.4,1.3,7.0,True,2021-10-22T19:00:00Z,1
Martin Ødegaard,MID,Arsenal,Leicester,32,0,0,0,0,5,0,0,0,0,0,0,3.6,10.0,22.0,4.0,False,2021-10-30T11:30:00Z,1
Martin Ødegaard,MID,Arsenal,West Brom,21,0,0,0,0,3,0,0,0,0,0,0,2.1,5.8,0.9,14.0,True,2021-11-07T14:00:00Z,1
Martin Ødegaard,MID,Arsenal,Liverpool,23,0,0,2,0,2,0,0,0,0,0,0,0.6,2.4,3.9,0.0,False,2021-11-20T17:30:00Z,1
Martin Ødegaard,MID,Arsenal,Newcastle,90,0,0,0,1,14,0,0,0,0,0,0,7.4,17.8,37.2,19.0,True,2021-11-27T12:30:00Z,3
Martin Ødegaard,MID,Arsenal,Man Utd,78,1,0,3,0,26,0,0,0,0,0,0,10.7,35.4,54.5,17.0,False,2021-12-02T20:15:00Z,7
Martin Ødegaard,MID,Arsenal,Fulham,90,1,0,2,0,34,1,0,0,0,0,0,15.7,51.0,53.2,53.0,False,2021-12-06T20:00:00Z,7
Martin Ødegaard,MID,Arsenal,Southampton,90,1,0,0,1,32,0,0,0,0,0,0,13.5,43.4,35.7,56.0,True,2021-12-11T15:00:00Z,8
Martin Ødegaard,MID,Arsenal,West Ham,65,0,0,0,1,15,0,0,0,0,0,0,5.0,8.8,25.8,15.0,True,2021-12-15T20:00:00Z,3
Martin Ødegaard,MID,Arsenal,Leeds,84,0,1,1,0,30,0,0,0,0,0,0,11.4,32.2,64.8,17.0,False,2021-12-18T17:30:00Z,7
Martin Ødegaard,MID,Arsenal,Sheffield Utd,90,0,2,0,1,31,0,0,0,0,0,0,10.9,42.8,42.2,24.0,False,2021-12-26T15:00:00Z,9
Martin Ødegaard,MID,Arsenal,Man City,62,0,0,1,0,3,0,0,0,0,0,0,0.4,0.0,1.5,4.0,True,2022-01-01T12:30:00Z,2
Martin Ødegaard,MID,Arsenal,Chelsea,90,0,0,0,1,14,0,0,0,0,0,0,10.3,24.8,50.9,27.0,True,2022-01-23T14:00:00Z,3
Martin Ødegaard,MID,Arsenal,Wolves,67,0,0,0,1,16,0,0,0,0,0,0,4.0,10.4,29.6,0.0,False,2022-02-10T19:45:00Z,3
Martin Ødegaard,MID,Arsenal,Brighton,90,0,0,1,0,9,0,0,0,0,0,0,9.9,13.0,24.6,61.0,True,2022-02-19T15:00:00Z,2
Martin Ødegaard,MID,Arsenal,Wolves,90,0,0,1,0,9,0,0,0,0,0,0,5.3,3.0,26.1,24.0,True,2022-02-24T19:45:00Z,2
Martin Ødegaard,MID,Arsenal,West Brom,89,1,0,2,0,37,0,0,0,0,0,0,13.2,56.0,56.7,19.0,False,2022-03-06T14:00:00Z,8
Martin Ødegaard,MID,Arsenal,Leicester,90,0,0,0,1,14,0,0,0,0,0,0,9.3,23.4,67.3,2.0,True,2022-03-13T16:30:00Z,3
Martin Ødegaard,MID,Arsenal,Liverpool,66,0,0,2,0,0,0,0,0,0,0,0,4.0,11.4,11.9,17.0,True,2022-03-16T20:15:00Z,2
Martin Ødegaard,MID,Arsenal,Aston Villa,85,0,0,0,1,12,0,0,0,0,0,0,4.3,6.0,25.2,12.0,False,2022-03-19T12:30:00Z,3
Martin Ødegaard,MID,Arsenal,Everton,90,0,0,3,0,0,0,0,0,0,0,0,1.0,0.0,4.4,13.0,False,2022-04-04T19:00:00Z,2
Martin Ødegaard,MID,Arsenal,Burnley,90,1,0,2,0,22,1,0,0,0,0,0,7.5,35.0,3.6,36.0,True,2022-04-09T14:00:00Z,7
Martin Ødegaard,MID,Arsenal,Southampton,90,0,0,1,0,18,0,0,0,0,0,0,7.5,13.4,51.7,10.0,False,2022-04-16T14:00:00Z,2
Martin Ødegaard,MID,Arsenal,Crystal Palace,90,0,1,2,0,19,0,0,0,0,0,0,6.5,30.2,35.0,0.0,False,2022-04-20T18:45:00Z,5
Martin Ødegaard,MID,Arsenal,Man Utd,90,0,0,1,0,15,0,0,0,0,0,0,5.3,11.8,32.7,8.0,True,2022-04-23T11:30:00Z,2
Martin Ødegaard,MID,Arsenal,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,4.3,10.2,32.4,0.0,False,2022-05-01T15:30:00Z,2
Martin Ødegaard,MID,Arsenal,Leeds,90,0,0,1,0,15,0,0,0,0,0,0,9.5,20.2,44.8,30.0,True,2022-05-08T13:00:00Z,2
Martin Ødegaard,MID,Arsenal,Spurs,90,0,0,3,0,8,1,0,0,0,0,0,6.7,10.8,20.1,36.0,False,2022-05-12T18:45:00Z,1
