name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Matthew Cash,DEF,Aston Villa,West Brom,90,0,0,3,0,21,0,0,0,0,0,0,3.0,14.8,13.7,1.0,False,2021-08-14T14:00:00Z,1
Matthew Cash,DEF,Aston Villa,Newcastle,90,0,0,0,1,22,0,0,0,0,0,0,1.9,11.4,1.8,6.0,True,2021-08-21T14:00:00Z,6
Matthew Cash,DEF,Aston Villa,Brighton,90,0,0,1,0,7,1,0,0,0,0,0,2.3,15.2,1.5,6.0,True,2021-08-28T14:00:00Z,1
Matthew Cash,DEF,Aston Villa,Crystal Palace,90,0,0,3,0,13,0,0,0,0,0,0,3.2,16.0,10.3,6.0,False,2021-09-11T16:30:00Z,1
Matthew Cash,DEF,Aston Villa,Fulham,85,1,0,0,1,33,0,0,0,0,0,0,8.1,37.4,1.8,42.0,True,2021-09-18T16:30:00Z,15
Matthew Cash,DEF,Aston Villa,Man Utd,90,0,0,0,1,21,1,0,0,0,0,0,3.0,15.8,11.7,2.0,False,2021-09-25T11:30:00Z,5
Matthew Cash,DEF,Aston Villa,Spurs,90,0,0,2,0,5,0,0,0,0,0,0,3.5,3.8,6.0,25.0,False,2021-10-03T13:00:00Z,1
Matthew Cash,DEF,Aston Villa,Wolves,78,0,0,0,1,19,0,0,0,0,0,0,6.0,5.8,25.3,29.0,True,2021-10-16T14:00:00Z,6
Matthew Cash,DEF,Aston Villa,Arsenal,90,0,0,3,0,12,0,0,0,0,0,0,2.5,10.4,12.2,2.0,False,2021-10-22T19:00:00Z,1
Matthew Cash,DEF,Aston Villa,West Ham,90,0,0,4,0,6,0,0,0,0,0,0,1.3,4.4,0.9,8.0,True,2021-10-31T16:30:00Z,0
Matthew Cash,DEF,Aston Villa,Southampton,90,0,0,1,0,14,0,0,0,0,0,0,2.5,20.0,1.2,4.0,False,2021-11-05T20:00:00Z,2
Matthew Cash,DEF,Aston Villa,Burnley,90,0,0,0,1,18,1,0,0,0,0,0,3.8,12.4,2.6,23.0,True,2021-11-20T15:00:00Z,5
Matthew Cash,DEF,Aston Villa,Everton,90,0,0,1,0,12,1,0,0,0,0,0,2.3,15.2,3.9,4.0,False,2021-11-27T15:00:00Z,1
Matthew Cash,DEF,Aston Villa,Man City,90,0,0,2,0,6,0,0,0,0,0,0,1.7,15.8,0.7,0.0,True,2021-12-01T20:15:00Z,1
Matthew Cash,DEF,Aston Villa,Leicester,90,0,0,1,0,21,0,0,0,0,0,0,11.5,42.4,25.9,47.0,True,2021-12-05T16:30:00Z,2
Matthew Cash,DEF,Aston Villa,Liverpool,90,0,0,1,0,8,0,0,0,0,0,0,1.8,11.8,2.0,4.0,False,2021-12-11T15:00:00Z,2
Matthew Cash,DEF,Aston Villa,Sheffield Utd,90,0,0,0,1,22,0,0,0,0,0,0,7.5,19.2,27.7,28.0,False,2021-12-14T19:45:00Z,6
Matthew Cash,DEF,Aston Villa,Crystal Palace,90,0,0,3,0,14,0,0,0,0,0,0,8.2,19.6,36.5,26.0,True,2021-12-26T17:30:00Z,1
Matthew Cash,DEF,Aston Villa,Brighton,90,0,0,2,0,10,0,0,0,0,0,0,2.3,8.6,12.8,2.0,False,2022-01-02T14:00:00Z,1
Matthew Cash,DEF,Aston Villa,Man Utd,90,0,0,2,0,17,0,0,0,0,0,0,6.7,27.6,35.2,4.0,True,2022-01-15T17:30:00Z,1
Matthew Cash,DEF,Aston Villa,Fulham,90,0,0,0,1,19,1,0,0,0,0,0,1.4,13.2,1.2,0.0,False,2022-01-22T12:30:00Z,5
Matthew Cash,DEF,Aston Villa,Leeds,90,0,1,3,0,18,1,0,0,0,0,0,7.0,31.4,18.7,20.0,True,2022-02-09T20:00:00Z,3
Matthew Cash,DEF,Aston Villa,Newcastle,90,0,0,1,0,5,0,0,0,0,0,0,5.3,14.8,15.7,22.0,False,2022-02-13T14:00:00Z,2
Matthew Cash,DEF,Aston Villa,West Brom,64,0,0,0,1,16,1,0,0,0,0,0,5.5,19.2,29.7,6.0,True,2022-02-19T15:00:00Z,5
Matthew Cash,DEF,Aston Villa,Burnley,90,1,0,0,1,33,1,0,0,0,0,0,6.1,46.8,3.4,11.0,False,2022-02-26T15:30:00Z,14
Matthew Cash,DEF,Aston Villa,Southampton,90,0,1,0,1,37,0,0,0,0,0,0,6.1,35.8,21.4,4.0,True,2022-03-05T15:00:00Z,11
Matthew Cash,DEF,Aston Villa,Leeds,90,1,1,0,1,48,0,0,0,0,0,0,11.9,66.6,31.7,21.0,False,2022-03-10T19:45:00Z,18
Matthew Cash,DEF,Aston Villa,West Ham,90,0,0,2,0,9,0,0,0,0,0,0,2.4,20.2,1.8,2.0,False,2022-03-13T14:00:00Z,1
Matthew Cash,DEF,Aston Villa,Arsenal,90,0,0,1,0,8,0,0,0,0,0,0,0.9,6.2,3.0,0.0,True,2022-03-19T12:30:00Z,2
Matthew Cash,DEF,Aston Villa,Wolves,90,0,0,2,0,8,0,0,0,0,0,0,5.6,9.4,5.3,41.0,False,2022-04-02T14:00:00Z,1
Matthew Cash,DEF,Aston Villa,Spurs,90,0,0,4,0,14,0,0,0,0,0,0,4.3,16.4,2.8,24.0,True,2022-04-09T16:30:00Z,0
Matthew Cash,DEF,Aston Villa,Leicester,90,0,0,0,1,18,0,0,0,0,0,0,1.5,12.2,0.9,2.0,False,2022-04-23T14:00:00Z,6
Matthew Cash,DEF,Aston Villa,Sheffield Utd,90,0,0,0,1,22,0,0,0,0,0,0,2.9,9.2,1.1,19.0,True,2022-04-30T14:00:00Z,6
Matthew Cash,DEF,Aston Villa,Chelsea,90,0,0,1,0,15,0,0,0,0,0,0,5.7,14.4,25.7,17.0,False,2022-05-07T14:00:00Z,2
Matthew Cash,DEF,Aston Villa,Liverpool,90,0,0,2,0,15,0,0,0,0,0,0,4.6,26.0,17.1,3.0,True,2022-05-10T19:00:00Z,1
Matthew Cash,DEF,Aston Villa,Everton,90,0,0,1,0,10,0,0,0,0,0,0,2.9,25.0,1.8,2.0,True,2022-05-15T13:00:00Z,2
Matthew Cash,DEF,Aston Villa,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,8.6,14.6,17.1,54.0,True,2022-05-19T19:00:00Z,2
Matthew Cash,DEF,Aston Villa,Man City,90,1,0,3,0,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,7
