name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Michael Olise,MID,Crystal Palace,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-14T14:00:00Z,0
Michael Olise,MID,Crystal Palace,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-21T14:00:00Z,0
Michael Olise,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-28T14:00:00Z,0
Michael Olise,MID,Crystal Palace,Spurs,4,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.4,0.0,True,2021-09-11T11:30:00Z,1
Michael Olise,MID,Crystal Palace,Liverpool,8,0,0,1,0,5,0,0,0,0,0,0,0.8,3.6,0.7,4.0,False,2021-09-18T14:00:00Z,1
Michael Olise,MID,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-27T19:00:00Z,0
Michael Olise,MID,Crystal Palace,Leicester,37,1,0,0,0,21,0,0,0,0,0,0,10.7,37.0,27.1,43.0,True,2021-10-03T13:00:00Z,7
Michael Olise,MID,Crystal Palace,Arsenal,19,0,1,1,0,13,0,0,0,0,0,0,3.0,19.4,10.1,0.0,False,2021-10-18T19:00:00Z,4
Michael Olise,MID,Crystal Palace,Newcastle,66,0,0,1,0,17,0,0,0,0,0,0,4.6,9.2,32.3,4.0,True,2021-10-23T14:00:00Z,2
Michael Olise,MID,Crystal Palace,Man City,5,0,1,0,0,14,0,0,0,0,0,0,2.9,16.4,10.6,2.0,False,2021-10-30T14:00:00Z,4
Michael Olise,MID,Crystal Palace,Wolves,10,0,0,0,0,1,1,0,0,0,0,0,0.4,0.2,0.0,4.0,True,2021-11-06T15:00:00Z,0
Michael Olise,MID,Crystal Palace,Chelsea,32,0,0,0,0,-5,1,0,0,0,0,0,2.5,1.4,4.7,19.0,False,2021-11-20T15:00:00Z,0
Michael Olise,MID,Crystal Palace,Aston Villa,86,0,0,2,0,5,0,0,0,0,0,0,2.1,3.6,11.1,6.0,True,2021-11-27T15:00:00Z,2
Michael Olise,MID,Crystal Palace,Leeds,1,0,0,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-30T20:15:00Z,1
Michael Olise,MID,Crystal Palace,Man Utd,6,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,2021-12-05T14:00:00Z,1
Michael Olise,MID,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-12T16:30:00Z,0
Michael Olise,MID,Crystal Palace,Southampton,15,0,0,0,0,3,0,0,0,0,0,0,0.6,4.4,1.8,0.0,True,2021-12-15T19:30:00Z,1
Michael Olise,MID,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-26T15:00:00Z,0
Michael Olise,MID,Crystal Palace,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-28T15:00:00Z,0
Michael Olise,MID,Crystal Palace,West Ham,22,1,1,0,0,36,0,0,0,0,0,0,8.0,53.4,19.3,7.0,True,2022-01-01T17:30:00Z,11
Michael Olise,MID,Crystal Palace,Burnley,80,0,0,0,1,18,0,0,0,0,0,0,1.3,9.2,3.6,0.0,False,2022-01-14T20:00:00Z,3
Michael Olise,MID,Crystal Palace,Liverpool,90,0,0,3,0,18,0,0,0,0,0,0,7.6,14.6,31.1,30.0,True,2022-01-23T14:00:00Z,2
Michael Olise,MID,Crystal Palace,Sheffield Utd,69,0,1,1,0,20,0,0,0,0,0,0,6.5,25.4,37.6,2.0,False,2022-02-09T19:45:00Z,7
Michael Olise,MID,Crystal Palace,Brighton,12,0,0,0,0,3,0,0,0,0,0,0,0.8,0.2,5.8,2.0,False,2022-02-12T15:00:00Z,1
Michael Olise,MID,Crystal Palace,Crystal Palace,90,0,0,1,0,13,1,0,0,0,0,0,5.2,7.8,40.3,4.0,True,2022-02-19T15:00:00Z,1
Michael Olise,MID,Crystal Palace,West Brom,72,0,0,1,0,13,0,0,0,0,0,0,3.3,12.2,3.8,17.0,False,2022-02-23T19:30:00Z,2
Michael Olise,MID,Crystal Palace,Chelsea,90,0,1,1,0,30,0,0,0,0,0,0,11.3,34.6,30.3,48.0,True,2022-02-26T15:00:00Z,8
Michael Olise,MID,Crystal Palace,Wolves,81,0,0,0,1,10,0,0,0,0,0,0,6.7,13.6,19.8,34.0,False,2022-03-05T15:00:00Z,3
Michael Olise,MID,Crystal Palace,Man City,64,0,0,0,1,9,0,0,0,0,0,0,2.3,6.6,10.7,6.0,True,2022-03-14T20:00:00Z,3
Michael Olise,MID,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-04T19:00:00Z,0
Michael Olise,MID,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-10T13:00:00Z,0
Michael Olise,MID,Crystal Palace,Newcastle,39,0,0,1,0,0,0,0,0,0,0,0,0.4,3.2,0.8,0.0,False,2022-04-20T18:45:00Z,1
Michael Olise,MID,Crystal Palace,Leeds,23,0,0,0,0,10,0,0,0,0,0,0,7.3,15.8,53.3,4.0,True,2022-04-25T19:00:00Z,1
Michael Olise,MID,Crystal Palace,Southampton,16,0,0,0,0,3,0,0,0,0,0,0,0.2,0.0,0.5,2.0,False,2022-04-30T14:00:00Z,1
Michael Olise,MID,Crystal Palace,West Brom,90,0,1,0,1,24,1,0,0,0,0,0,8.0,16.4,33.0,31.0,True,2022-05-07T14:00:00Z,5
Michael Olise,MID,Crystal Palace,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-15T13:00:00Z,0
Michael Olise,MID,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-19T18:45:00Z,0
Michael Olise,MID,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,0
