name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ollie Watkins,FWD,Aston Villa,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-14T14:00:00Z,0
Ollie Watkins,FWD,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-21T14:00:00Z,0
Ollie Watkins,FWD,Aston Villa,Brighton,11,0,0,0,0,2,0,0,0,0,0,0,4.0,5.4,0.6,34.0,True,2021-08-28T14:00:00Z,1
Ollie Watkins,FWD,Aston Villa,Crystal Palace,90,0,0,3,0,7,0,0,0,0,0,0,16.2,17.4,24.7,120.0,False,2021-09-11T16:30:00Z,2
Ollie Watkins,FWD,Aston Villa,Fulham,90,0,0,0,1,4,0,0,0,0,0,0,2.5,1.4,13.5,10.0,True,2021-09-18T16:30:00Z,2
Ollie Watkins,FWD,Aston Villa,Man Utd,90,0,0,0,1,0,0,0,0,0,0,0,3.8,8.4,2.0,28.0,False,2021-09-25T11:30:00Z,2
Ollie Watkins,FWD,Aston Villa,Spurs,90,1,0,2,0,22,0,0,0,0,0,0,8.2,31.8,2.7,47.0,False,2021-10-03T13:00:00Z,6
Ollie Watkins,FWD,Aston Villa,Wolves,90,0,1,3,0,15,1,0,0,0,0,0,7.9,8.6,22.7,48.0,True,2021-10-16T14:00:00Z,4
Ollie Watkins,FWD,Aston Villa,Arsenal,90,0,0,3,0,0,1,0,0,0,0,0,4.3,3.8,3.2,36.0,False,2021-10-22T19:00:00Z,1
Ollie Watkins,FWD,Aston Villa,West Ham,90,1,0,4,0,26,0,0,0,0,0,0,8.1,44.2,2.7,34.0,True,2021-10-31T16:30:00Z,7
Ollie Watkins,FWD,Aston Villa,Southampton,90,0,0,1,0,5,0,0,0,0,0,0,4.3,3.8,23.3,16.0,False,2021-11-05T20:00:00Z,2
Ollie Watkins,FWD,Aston Villa,Burnley,90,1,0,0,1,32,0,0,0,0,0,0,6.4,35.6,3.8,25.0,True,2021-11-20T15:00:00Z,8
Ollie Watkins,FWD,Aston Villa,Everton,90,0,0,1,0,-2,0,0,0,0,0,0,2.7,5.8,13.5,8.0,False,2021-11-27T15:00:00Z,2
Ollie Watkins,FWD,Aston Villa,Man City,90,1,0,2,0,31,0,0,0,0,0,0,8.1,40.6,13.4,27.0,True,2021-12-01T20:15:00Z,9
Ollie Watkins,FWD,Aston Villa,Leicester,90,0,0,1,0,9,0,0,0,0,0,0,7.6,12.8,23.8,39.0,True,2021-12-05T16:30:00Z,2
Ollie Watkins,FWD,Aston Villa,Liverpool,90,0,0,1,0,0,1,0,0,0,0,0,3.6,4.8,22.9,8.0,False,2021-12-11T15:00:00Z,1
Ollie Watkins,FWD,Aston Villa,Sheffield Utd,90,1,1,0,1,43,0,0,0,0,0,0,26.6,67.0,37.8,161.0,False,2021-12-14T19:45:00Z,12
Ollie Watkins,FWD,Aston Villa,Crystal Palace,90,0,0,3,0,5,0,0,0,0,0,0,4.2,3.0,9.3,30.0,True,2021-12-26T17:30:00Z,2
