name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Reece James,DEF,Chelsea,Everton,23,0,0,0,0,4,0,0,0,0,0,0,0.6,2.2,2.1,2.0,True,2021-08-14T14:00:00Z,1
Reece James,DEF,Chelsea,Arsenal,90,1,1,0,1,57,0,0,0,0,0,0,19.4,74.6,54.5,65.0,False,2021-08-22T15:30:00Z,18
Reece James,DEF,Chelsea,Liverpool,47,0,1,1,0,-2,0,1,0,0,0,0,2.4,8.6,15.0,0.0,False,2021-08-28T16:30:00Z,1
Reece James,DEF,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-11T16:30:00Z,0
Reece James,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-19T15:30:00Z,0
Reece James,DEF,Chelsea,Man City,28,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,2021-09-25T11:30:00Z,1
Reece James,DEF,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,0
Reece James,DEF,Chelsea,Brighton,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.1,0.0,False,2021-10-16T16:30:00Z,1
Reece James,DEF,Chelsea,Sheffield Utd,90,1,0,0,1,41,0,0,0,0,0,0,9.2,44.2,26.4,21.0,True,2021-10-23T11:30:00Z,13
Reece James,DEF,Chelsea,Newcastle,90,2,0,0,1,63,0,0,0,0,0,0,18.1,84.4,43.9,53.0,False,2021-10-30T14:00:00Z,21
Reece James,DEF,Chelsea,Chelsea,90,0,1,1,0,28,1,0,0,0,0,0,15.2,36.4,71.8,44.0,True,2021-11-06T15:00:00Z,7
Reece James,DEF,Chelsea,Leicester,90,0,1,0,1,42,0,0,0,0,0,0,7.4,32.4,25.8,16.0,False,2021-11-20T12:30:00Z,12
Reece James,DEF,Chelsea,Man Utd,90,0,0,1,0,7,1,0,0,0,0,0,3.7,4.6,19.2,13.0,True,2021-11-28T16:30:00Z,1
Reece James,DEF,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-01T19:30:00Z,0
Reece James,DEF,Chelsea,West Ham,90,0,0,3,0,11,1,0,0,0,0,0,5.6,14.8,31.7,9.0,False,2021-12-04T12:30:00Z,0
Reece James,DEF,Chelsea,Leeds,90,0,0,2,0,12,1,0,0,0,0,0,5.5,13.8,38.2,3.0,True,2021-12-11T15:00:00Z,0
Reece James,DEF,Chelsea,Fulham,90,0,1,1,0,28,0,0,0,0,0,0,12.6,32.6,79.3,14.0,True,2021-12-16T19:45:00Z,8
Reece James,DEF,Chelsea,Wolves,90,0,0,0,1,23,0,0,0,0,0,0,3.1,8.6,20.0,2.0,False,2021-12-19T14:00:00Z,6
Reece James,DEF,Chelsea,Aston Villa,90,0,0,1,0,9,0,0,1,0,0,0,2.8,9.6,13.1,5.0,False,2021-12-26T17:30:00Z,0
Reece James,DEF,Chelsea,Burnley,26,0,0,0,0,4,0,0,0,0,0,0,2.0,5.0,14.5,0.0,True,2021-12-29T19:30:00Z,1
Reece James,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-02T16:30:00Z,0
Reece James,DEF,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-15T12:30:00Z,0
Reece James,DEF,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-18T20:00:00Z,0
Reece James,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-23T16:30:00Z,0
Reece James,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-19T15:00:00Z,0
Reece James,DEF,Chelsea,Chelsea,69,1,1,0,1,53,0,0,0,0,0,0,11.8,61.2,15.6,41.0,False,2022-03-05T15:00:00Z,18
Reece James,DEF,Chelsea,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-10T19:30:00Z,0
Reece James,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-03-13T14:00:00Z,0
Reece James,DEF,Chelsea,Brighton,35,0,0,2,0,8,0,0,0,0,0,0,1.9,11.0,7.6,0.0,True,2022-04-02T14:00:00Z,0
Reece James,DEF,Chelsea,Southampton,27,0,0,0,0,12,0,0,0,0,0,0,1.0,5.8,3.4,1.0,False,2022-04-09T14:00:00Z,1
Reece James,DEF,Chelsea,Arsenal,90,0,0,4,0,19,0,0,0,0,0,0,1.7,9.8,5.5,2.0,True,2022-04-20T18:45:00Z,0
Reece James,DEF,Chelsea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-24T13:00:00Z,0
Reece James,DEF,Chelsea,Man Utd,90,0,0,1,0,21,0,0,0,0,0,0,14.3,31.8,50.0,61.0,False,2022-04-28T18:45:00Z,2
Reece James,DEF,Chelsea,Fulham,90,0,0,1,0,14,0,0,0,0,0,0,5.5,10.8,19.5,25.0,False,2022-05-01T13:00:00Z,2
Reece James,DEF,Chelsea,Wolves,90,0,0,2,0,10,0,0,0,0,0,0,3.3,4.2,20.2,9.0,True,2022-05-07T14:00:00Z,1
Reece James,DEF,Chelsea,Leeds,77,0,1,0,1,47,0,0,0,0,0,0,11.4,42.6,67.8,4.0,False,2022-05-11T18:30:00Z,12
Reece James,DEF,Chelsea,Leicester,90,0,1,1,0,30,0,0,0,0,0,0,13.0,32.8,50.8,46.0,True,2022-05-19T19:00:00Z,7
Reece James,DEF,Chelsea,West Brom,90,0,1,1,0,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,7
