name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Rico Henry,DEF,Brentford,Arsenal,90,0,0,0,1,22,0,0,0,0,0,0,1.7,13.2,1.3,2.0,True,2021-08-13T19:00:00Z,6
Rico Henry,DEF,Brentford,Everton,90,0,0,0,1,26,0,0,0,0,0,0,4.1,15.0,26.2,0.0,False,2021-08-21T14:00:00Z,6
Rico Henry,DEF,Brentford,Aston Villa,90,0,0,1,0,4,0,0,0,0,0,0,2.9,9.4,11.3,8.0,False,2021-08-28T14:00:00Z,2
Rico Henry,DEF,Brentford,Burnley,90,0,0,1,0,9,0,0,0,0,0,0,2.3,10.2,12.9,0.0,True,2021-09-11T14:00:00Z,2
Rico Henry,DEF,Brentford,Wolves,74,0,0,0,1,13,1,0,0,0,0,0,0.1,0.2,0.8,0.0,False,2021-09-18T11:30:00Z,5
Rico Henry,DEF,Brentford,Liverpool,90,0,0,3,0,7,0,0,0,0,0,0,2.1,14.0,6.4,1.0,True,2021-09-25T16:30:00Z,1
Rico Henry,DEF,Brentford,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,4.7,21.4,25.3,0.0,False,2021-10-03T13:00:00Z,2
Rico Henry,DEF,Brentford,Crystal Palace,90,0,0,1,0,13,0,0,0,0,0,0,3.3,13.2,19.9,0.0,True,2021-10-16T16:30:00Z,2
Rico Henry,DEF,Brentford,Leicester,90,0,0,2,0,6,0,0,0,0,0,0,1.3,5.2,2.4,5.0,True,2021-10-24T13:00:00Z,1
Rico Henry,DEF,Brentford,Chelsea,90,0,0,3,0,9,0,0,0,0,0,0,1.3,5.0,5.5,2.0,False,2021-10-30T14:00:00Z,1
Rico Henry,DEF,Brentford,Sheffield Utd,68,1,0,2,0,26,0,0,0,0,0,0,8.0,38.8,3.7,37.0,True,2021-11-06T15:00:00Z,10
Rico Henry,DEF,Brentford,Newcastle,90,1,0,3,0,19,0,0,0,0,0,0,8.9,41.4,12.5,35.0,False,2021-11-20T15:00:00Z,7
