name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Sam Byram,DEF,Norwich,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T16:30:00Z,0
Sam Byram,DEF,Norwich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-21T14:00:00Z,0
Sam Byram,DEF,Norwich,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-28T14:00:00Z,0
Sam Byram,DEF,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-11T14:00:00Z,0
Sam Byram,DEF,Norwich,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-09-18T14:00:00Z,0
Sam Byram,DEF,Norwich,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T14:00:00Z,0
Sam Byram,DEF,Norwich,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-02T14:00:00Z,0
Sam Byram,DEF,Norwich,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-16T14:00:00Z,0
Sam Byram,DEF,Norwich,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-23T11:30:00Z,0
Sam Byram,DEF,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-31T14:00:00Z,0
Sam Byram,DEF,Norwich,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-06T15:00:00Z,0
Sam Byram,DEF,Norwich,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-20T15:00:00Z,0
Sam Byram,DEF,Norwich,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-11-27T15:00:00Z,0
Sam Byram,DEF,Norwich,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-30T19:30:00Z,0
Sam Byram,DEF,Norwich,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-05T14:00:00Z,0
Sam Byram,DEF,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-11T17:30:00Z,0
Sam Byram,DEF,Norwich,Aston Villa,45,0,0,1,0,2,1,0,0,0,0,0,0.6,4.0,2.0,0.0,True,2021-12-14T19:45:00Z,0
Sam Byram,DEF,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-26T15:00:00Z,0
Sam Byram,DEF,Norwich,Everton,90,0,0,3,0,5,1,0,0,0,0,0,6.9,21.4,11.9,36.0,False,2021-12-28T15:00:00Z,0
Sam Byram,DEF,Norwich,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-12T19:45:00Z,0
Sam Byram,DEF,Norwich,Fulham,13,0,0,0,0,3,0,0,0,0,0,0,0.3,3.4,0.0,0.0,True,2022-01-15T15:00:00Z,1
Sam Byram,DEF,Norwich,West Brom,3,0,0,0,0,3,0,0,0,0,0,0,0.4,2.4,1.3,0.0,False,2022-01-21T20:00:00Z,1
Sam Byram,DEF,Norwich,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-09T19:45:00Z,0
Sam Byram,DEF,Norwich,Man City,27,0,0,2,0,4,0,0,0,0,0,0,0.6,4.0,0.1,2.0,True,2022-02-12T17:30:00Z,0
Sam Byram,DEF,Norwich,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-19T15:00:00Z,0
Sam Byram,DEF,Norwich,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-25T20:00:00Z,0
Sam Byram,DEF,Norwich,Brighton,90,0,0,3,0,18,0,0,0,0,0,0,7.9,22.8,13.3,43.0,True,2022-03-05T15:00:00Z,1
Sam Byram,DEF,Norwich,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-03-10T19:30:00Z,0
Sam Byram,DEF,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-13T14:00:00Z,0
Sam Byram,DEF,Norwich,Burnley,90,0,0,0,1,22,0,0,0,0,0,0,2.0,19.0,0.8,0.0,False,2022-04-02T14:00:00Z,6
Sam Byram,DEF,Norwich,Chelsea,90,0,0,0,1,19,0,0,0,0,0,0,2.8,19.8,1.8,6.0,True,2022-04-10T13:00:00Z,6
Sam Byram,DEF,Norwich,Man Utd,90,0,0,3,0,15,0,0,0,0,0,0,5.8,21.8,11.8,24.0,False,2022-04-16T14:00:00Z,1
