name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Thiago Alcántara do Nascimento,MID,Liverpool,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-14T16:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Chelsea,9,0,0,0,0,3,0,0,0,0,0,0,1.3,2.6,2.0,8.0,True,2021-08-21T11:30:00Z,1
Thiago Alcántara do Nascimento,MID,Liverpool,Crystal Palace,16,0,0,0,0,4,0,0,0,0,0,0,1.9,6.2,12.3,0.0,True,2021-08-28T16:30:00Z,1
Thiago Alcántara do Nascimento,MID,Liverpool,Leeds,90,0,1,0,1,30,0,0,0,0,0,0,7.0,34.6,25.2,10.0,False,2021-09-12T15:30:00Z,7
Thiago Alcántara do Nascimento,MID,Liverpool,Everton,61,0,0,0,1,10,0,0,0,0,0,0,7.7,10.6,23.8,43.0,True,2021-09-18T14:00:00Z,3
Thiago Alcántara do Nascimento,MID,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-09-25T16:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-03T15:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T11:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-24T15:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T14:00:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,West Ham,21,0,0,1,0,10,0,0,0,0,0,0,3.2,10.6,4.5,17.0,False,2021-11-07T16:30:00Z,1
Thiago Alcántara do Nascimento,MID,Liverpool,Arsenal,83,0,0,0,1,16,0,0,0,0,0,0,7.9,17.4,26.1,35.0,True,2021-11-20T17:30:00Z,3
Thiago Alcántara do Nascimento,MID,Liverpool,Southampton,58,1,0,0,0,30,0,0,0,0,0,0,6.0,41.2,1.9,17.0,True,2021-11-27T15:00:00Z,6
Thiago Alcántara do Nascimento,MID,Liverpool,Fulham,74,0,0,1,0,6,1,0,0,0,0,0,2.1,7.2,2.3,11.0,False,2021-12-01T20:15:00Z,1
Thiago Alcántara do Nascimento,MID,Liverpool,Wolves,90,0,0,0,1,11,0,0,0,0,0,0,10.5,16.2,20.3,68.0,False,2021-12-04T15:00:00Z,3
Thiago Alcántara do Nascimento,MID,Liverpool,Aston Villa,83,0,0,0,1,8,0,0,0,0,0,0,5.4,16.4,27.3,10.0,True,2021-12-11T15:00:00Z,3
Thiago Alcántara do Nascimento,MID,Liverpool,Newcastle,89,0,0,1,0,20,0,0,0,0,0,0,6.3,18.4,39.0,6.0,True,2021-12-16T20:00:00Z,2
Thiago Alcántara do Nascimento,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-19T16:30:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-28T20:00:00Z,0
Thiago Alcántara do Nascimento,MID,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-02T16:30:00Z,0
