name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Thiago Emiliano da Silva,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-08-14T14:00:00Z,0
Thiago Emiliano da Silva,DEF,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-08-22T15:30:00Z,0
Thiago Emiliano da Silva,DEF,Chelsea,Liverpool,45,0,0,0,0,9,0,0,0,0,0,0,3.1,30.8,0.0,0.0,False,2021-08-28T16:30:00Z,1
Thiago Emiliano da Silva,DEF,Chelsea,Aston Villa,90,0,0,0,1,30,0,0,0,0,0,0,5.3,43.0,10.3,0.0,True,2021-09-11T16:30:00Z,6
Thiago Emiliano da Silva,DEF,Chelsea,Spurs,90,1,0,0,1,46,0,0,0,0,0,0,12.4,57.2,10.7,56.0,False,2021-09-19T15:30:00Z,15
Thiago Emiliano da Silva,DEF,Chelsea,Man City,61,0,0,1,0,11,0,0,0,0,0,0,1.9,18.2,0.3,0.0,True,2021-09-25T11:30:00Z,2
Thiago Emiliano da Silva,DEF,Chelsea,Southampton,90,0,0,1,0,14,1,0,0,0,0,0,3.2,20.4,11.7,0.0,True,2021-10-02T14:00:00Z,1
Thiago Emiliano da Silva,DEF,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T16:30:00Z,0
Thiago Emiliano da Silva,DEF,Chelsea,Sheffield Utd,90,0,0,0,1,30,0,0,0,0,0,0,3.6,24.2,11.9,0.0,True,2021-10-23T11:30:00Z,6
Thiago Emiliano da Silva,DEF,Chelsea,Newcastle,90,0,0,0,1,28,0,0,0,0,0,0,2.9,24.0,5.2,0.0,False,2021-10-30T14:00:00Z,6
Thiago Emiliano da Silva,DEF,Chelsea,Chelsea,90,0,0,1,0,15,0,0,0,0,0,0,6.5,17.6,1.6,46.0,True,2021-11-06T15:00:00Z,2
Thiago Emiliano da Silva,DEF,Chelsea,Leicester,90,0,0,0,1,29,0,0,0,0,0,0,2.1,19.8,1.4,0.0,False,2021-11-20T12:30:00Z,6
Thiago Emiliano da Silva,DEF,Chelsea,Man Utd,90,0,1,1,0,29,0,0,0,0,0,0,4.0,18.8,1.6,20.0,True,2021-11-28T16:30:00Z,8
Thiago Emiliano da Silva,DEF,Chelsea,West Brom,45,0,0,0,0,7,0,0,0,0,0,0,0.9,8.6,0.6,0.0,False,2021-12-01T19:30:00Z,1
Thiago Emiliano da Silva,DEF,Chelsea,West Ham,90,1,0,3,0,26,0,0,0,0,0,0,7.3,52.2,1.3,19.0,False,2021-12-04T12:30:00Z,8
Thiago Emiliano da Silva,DEF,Chelsea,Leeds,90,0,0,2,0,12,0,0,0,0,0,0,3.3,26.4,2.9,4.0,True,2021-12-11T15:00:00Z,1
