name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Tyler Roberts,MID,Leeds,Man Utd,13,0,0,0,0,7,0,0,0,0,0,0,2.2,4.4,14.3,3.0,False,2021-08-14T11:30:00Z,1
Tyler Roberts,MID,Leeds,Fulham,30,0,0,0,0,2,0,0,0,0,0,0,0.1,0.0,0.7,0.0,True,2021-08-21T14:00:00Z,1
Tyler Roberts,MID,Leeds,Chelsea,17,0,0,0,0,2,0,0,0,0,0,0,0.8,2.6,3.1,2.0,False,2021-08-29T13:00:00Z,1
Tyler Roberts,MID,Leeds,Liverpool,45,0,0,2,0,2,0,0,0,0,0,0,3.3,9.8,2.2,21.0,True,2021-09-12T15:30:00Z,1
Tyler Roberts,MID,Leeds,Newcastle,29,0,0,0,0,4,0,0,0,0,0,0,3.7,6.0,24.6,6.0,False,2021-09-17T19:00:00Z,1
Tyler Roberts,MID,Leeds,West Ham,21,0,0,1,0,-1,1,0,0,0,0,0,1.2,0.6,11.1,0.0,True,2021-09-25T14:00:00Z,0
Tyler Roberts,MID,Leeds,West Brom,12,0,0,0,0,1,0,0,0,0,0,0,2.8,0.0,0.0,30.0,True,2021-10-02T14:00:00Z,1
Tyler Roberts,MID,Leeds,Southampton,80,0,0,1,0,3,1,0,0,0,0,0,2.3,5.2,12.7,5.0,False,2021-10-16T14:00:00Z,1
Tyler Roberts,MID,Leeds,Wolves,45,0,0,0,0,3,0,0,0,0,0,0,3.0,0.0,21.1,9.0,True,2021-10-23T14:00:00Z,1
Tyler Roberts,MID,Leeds,Sheffield Utd,2,0,0,0,0,2,0,0,0,0,0,0,1.1,0.2,10.3,0.0,False,2021-10-31T14:00:00Z,1
Tyler Roberts,MID,Leeds,Leicester,7,0,0,0,0,5,0,0,0,0,0,0,0.6,3.2,0.5,2.0,True,2021-11-07T14:00:00Z,1
Tyler Roberts,MID,Leeds,Spurs,18,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.0,2.0,False,2021-11-21T16:30:00Z,1
Tyler Roberts,MID,Leeds,Burnley,27,0,0,0,0,1,0,0,0,0,0,0,6.4,8.2,0.6,55.0,False,2021-11-27T17:30:00Z,1
Tyler Roberts,MID,Leeds,Everton,90,0,0,0,1,3,1,0,0,0,0,0,3.4,5.6,21.0,7.0,True,2021-11-30T20:15:00Z,2
Tyler Roberts,MID,Leeds,Brighton,90,1,0,2,0,23,1,0,0,0,0,0,10.6,51.2,3.6,51.0,True,2021-12-05T14:00:00Z,7
Tyler Roberts,MID,Leeds,Crystal Palace,90,0,1,3,0,24,0,0,0,0,0,0,5.6,28.8,15.8,11.0,False,2021-12-11T15:00:00Z,5
Tyler Roberts,MID,Leeds,Man City,90,0,0,7,0,10,0,0,0,0,0,0,2.8,17.2,1.3,9.0,False,2021-12-14T20:00:00Z,2
