input,output
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 5.267 bps: 6.5 goals_conceded: 0.333 goals_scored: 0.167 ict_index: 2.0 influence: 8.0 minutes: 17.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 6.667 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: 0 
",1.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.0 creativity: 4.557 bps: 6.0 goals_conceded: 0.571 goals_scored: 0.143 ict_index: 1.771 influence: 7.143 minutes: 17.714 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 6.0 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: -2 
",20.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.143 creativity: 8.329 bps: 15.857 goals_conceded: 0.571 goals_scored: 0.429 ict_index: 4.686 influence: 19.686 minutes: 26.429 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 18.857 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: 0 
",2.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 8.857 bps: 17.0 goals_conceded: 0.571 goals_scored: 0.429 ict_index: 5.1 influence: 19.971 minutes: 36.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 22.143 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: -3 
",2.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 11.814 bps: 16.714 goals_conceded: 0.714 goals_scored: 0.429 ict_index: 5.871 influence: 19.914 minutes: 41.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 26.857 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: -1 
",0.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 11.814 bps: 16.714 goals_conceded: 0.714 goals_scored: 0.429 ict_index: 5.871 influence: 19.914 minutes: 41.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 26.857 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: -1 
",0.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 11.814 bps: 16.714 goals_conceded: 0.714 goals_scored: 0.429 ict_index: 5.871 influence: 19.914 minutes: 41.0 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 26.857 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: -3 
",0.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 11.229 bps: 16.571 goals_conceded: 0.571 goals_scored: 0.429 ict_index: 5.657 influence: 19.829 minutes: 37.857 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 25.429 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: -2 
",0.0
"The rolling averages over the last 6 weeks
assists: 0.143 clean_sheets: 0.286 creativity: 11.186 bps: 16.143 goals_conceded: 0.286 goals_scored: 0.429 ict_index: 5.6 influence: 19.543 minutes: 34.714 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 25.143 yellow_cards: 0.0 For this game, these are the stats
was_home: 0 difficulty_gap: -1 
",0.0
"The rolling averages over the last 6 weeks
assists: 0.0 clean_sheets: 0.143 creativity: 5.386 bps: 2.0 goals_conceded: 0.286 goals_scored: 0.0 ict_index: 1.643 influence: 1.629 minutes: 21.857 own_goals: 0.0 penalties_missed: 0.0 penalties_saved: 0.0 red_cards: 0.0 saves: 0.0 threat: 9.286 yellow_cards: 0.0 For this game, these are the stats
was_home: 1 difficulty_gap: -3 
",0.0
