team_h,team_a,team_a_difficulty,team_h_difficulty,season
11,14,4,3,18_19
17,15,3,4,18_19
5,2,3,2,18_19
7,9,2,2,18_19
6,10,2,4,18_19
3,18,3,2,18_19
8,20,3,2,18_19
19,12,5,3,18_19
4,16,2,2,18_19
13,1,4,4,18_19
15,5,2,2,18_19
16,8,3,2,18_19
20,11,3,3,18_19
9,17,4,2,18_19
2,19,3,2,18_19
1,6,4,4,18_19
18,4,3,3,18_19
10,13,5,2,18_19
14,3,2,4,18_19
12,7,2,4,18_19
13,20,3,4,18_19
19,1,4,3,18_19
8,2,3,2,18_19
5,10,2,2,18_19
11,16,2,3,18_19
3,12,5,2,18_19
7,18,3,2,18_19
4,9,2,2,18_19
6,15,3,4,18_19
17,14,4,4,18_19
12,11,3,4,18_19
9,3,2,2,18_19
2,6,4,2,18_19
16,7,2,2,18_19
10,8,3,2,18_19
20,19,3,3,18_19
15,13,5,2,18_19
1,5,2,4,18_19
14,4,3,4,18_19
17,18,3,4,18_19
12,17,4,4,18_19
11,2,3,3,18_19
5,6,4,2,18_19
7,10,2,2,18_19
9,13,5,2,18_19
1,15,3,4,18_19
14,18,3,4,18_19
4,20,3,2,18_19
19,8,3,3,18_19
3,16,2,2,18_19
18,9,2,3,18_19
2,4,3,2,18_19
13,5,2,4,18_19
15,7,2,2,18_19
10,11,3,2,18_19
16,12,5,2,18_19
20,14,4,3,18_19
17,3,2,4,18_19
6,19,3,4,18_19
8,1,4,2,18_19
14,19,3,4,18_19
18,1,4,3,18_19
9,8,3,2,18_19
17,10,2,4,18_19
3,13,5,2,18_19
11,15,3,3,18_19
16,20,3,2,18_19
12,6,4,4,18_19
4,5,2,2,18_19
7,2,3,2,18_19
19,3,2,3,18_19
10,4,3,2,18_19
20,7,2,3,18_19
8,11,3,2,18_19
5,17,4,2,18_19
2,18,3,2,18_19
15,14,4,2,18_19
1,9,2,4,18_19
6,16,2,4,18_19
13,12,5,4,18_19
14,6,4,4,18_19
16,2,3,2,18_19
9,5,2,2,18_19
4,13,5,2,18_19
3,15,3,2,18_19
17,19,3,4,18_19
18,20,3,3,18_19
12,10,2,4,18_19
7,8,3,2,18_19
11,1,4,3,18_19
20,3,2,3,18_19
2,9,2,2,18_19
5,12,5,2,18_19
15,16,2,2,18_19
10,18,3,2,18_19
19,11,3,3,18_19
6,4,3,4,18_19
1,7,2,4,18_19
8,14,4,2,18_19
13,17,4,4,18_19
14,2,3,4,18_19
11,5,2,3,18_19
3,8,3,2,18_19
18,15,3,3,18_19
4,19,3,2,18_19
12,1,4,4,18_19
17,20,3,4,18_19
16,13,5,2,18_19
7,6,4,2,18_19
9,10,2,2,18_19
3,5,2,2,18_19
19,10,2,3,18_19
4,11,3,2,18_19
2,15,3,2,18_19
18,16,2,3,18_19
17,7,2,4,18_19
9,12,5,2,18_19
8,6,4,2,18_19
20,1,4,3,18_19
14,13,5,4,18_19
11,3,2,3,18_19
5,8,3,2,18_19
16,9,2,2,18_19
7,14,4,2,18_19
12,18,3,4,18_19
13,19,3,4,18_19
6,17,4,4,18_19
1,2,3,4,18_19
10,20,3,2,18_19
15,4,3,2,18_19
20,5,2,3,18_19
4,7,2,2,18_19
3,10,2,2,18_19
18,11,3,3,18_19
