Epoch,Training Loss,Validation Loss,Test Loss,Mse,Rmse,Mae,R2,Smape,Smape,Smape
1,8.4587,8.863748,8.891530708,8.863748,2.977205,2.187564,0.000657,125.629583,107.194055,100.144567
2,8.1318,8.914737,9.232499706,8.914737,2.985756,2.318015,-0.005092,127.299312,113.619968,102.465695
3,7.599,8.726077,8.772257964,8.726077,2.953993,2.145411,0.016178,126.951479,109.982356,101.497653
4,7.3442,8.550239,8.602492167,8.550239,2.924079,1.893673,0.036003,127.978792,108.565032,101.547047
5,8.8623,8.393139,8.846769021,8.393139,2.897091,1.925326,0.053715,129.834917,112.110683,105.141054
6,6.6538,8.586635,8.736778837,8.586634,2.930296,1.888369,0.0319,131.078083,113.409585,105.69615
7,7.3591,8.708015,8.729797895,8.708015,2.950935,1.839748,0.018215,131.487729,109.623146,106.11487
8,6.8471,8.409163,8.687560737,8.409163,2.899856,1.877126,0.051909,127.909292,111.375281,107.828518
9,7.1757,8.461371,8.677337908,8.461371,2.908844,1.972277,0.046023,130.096865,110.666338,102.914449
10,7.17,8.413882,8.523528918,8.413882,2.900669,2.009926,0.051377,129.399687,110.385949,110.099838
11,5.7294,8.724328,9.116884945,8.724329,2.953697,1.918302,0.016375,134.974708,113.12116,109.113489
12,7.3157,8.883708,8.915704247,8.883708,2.980555,1.864964,-0.001594,137.49075,112.207122,107.45148
13,5.6697,8.987113,9.459172511,8.987113,2.997851,2.079639,-0.013252,130.292667,108.403519,105.967863
14,6.4566,8.559156,8.796446424,8.559156,2.925604,1.937909,0.034998,133.004646,112.279305,109.732601
15,6.6544,8.830729,9.031692305,8.830729,2.971654,1.969167,0.004379,131.904354,115.413458,107.633363
16,6.7334,9.119339,9.35095745,9.119339,3.019824,1.921981,-0.02816,136.866906,112.037407,107.868704
17,5.2274,8.933172,9.343897026,8.933172,2.988841,1.960924,-0.007171,132.049698,111.532202,106.988753
18,6.4142,9.150833,9.471491823,9.150833,3.025034,2.002527,-0.031711,133.914969,111.50221,109.529562
19,5.3858,9.136826,9.348681551,9.136826,3.022718,1.923824,-0.030132,135.034271,111.608498,113.322015
20,5.192,9.168141,9.66482605,9.168141,3.027894,1.948749,-0.033662,134.626719,114.566588,109.668341
21,6.7633,7.223714,7.570637799,7.547515777,7.223714,2.687697,1.635419,0.073132,114.624321,114.552935
22,6.3487,7.274933,7.72571575,7.49038881,7.274933,2.697208,1.647109,0.06656,114.49539,108.915908
23,5.458,7.316022,7.532961582,7.375330716,7.316022,2.704815,1.602646,0.061288,115.782814,109.701408
24,4.7036,7.250761,7.750030022,7.449836082,7.250762,2.692724,1.581453,0.069662,114.780472,113.052241
25,3.7851,7.507372,7.998481059,7.627780992,7.507372,2.739958,1.605685,0.036736,117.837866,110.274618
26,4.4231,7.44402,7.751725082,7.819018549,7.44402,2.728373,1.646385,0.044865,115.279082,111.672505
27,4.7215,7.574275,7.861313433,7.613890729,7.574275,2.75214,1.654995,0.028152,114.678405,112.138472
28,3.6697,7.640065,7.858636193,7.759574126,7.640065,2.764067,1.647939,0.019711,115.242899,112.64031
29,4.9196,7.633714,7.979028574,7.960564064,7.633714,2.762918,1.652468,0.020525,115.454433,
30,3.8464,7.71552,7.918527363,8.064210407,7.715519,2.777682,1.662179,0.010029,116.106727,
